date,time in hour (23 hr integer),Number of readings per hour,Number of entries missing
18-06-2019,1,59,1
18-06-2019,2,60,0
18-06-2019,3,60,0
18-06-2019,4,60,0
18-06-2019,5,60,0
18-06-2019,6,59,1
18-06-2019,7,59,1
18-06-2019,8,59,1
18-06-2019,9,60,0
18-06-2019,10,59,1
18-06-2019,11,58,2
18-06-2019,12,59,1
18-06-2019,13,59,1
18-06-2019,14,60,0
18-06-2019,15,60,0
18-06-2019,16,59,1
18-06-2019,17,58,2
18-06-2019,18,58,2
18-06-2019,19,59,1
18-06-2019,20,60,0
18-06-2019,21,60,0
18-06-2019,22,58,2
18-06-2019,23,60,0
19-06-2019,0,60,0
19-06-2019,1,57,3
19-06-2019,2,53,7
19-06-2019,3,50,10
19-06-2019,4,60,0
19-06-2019,5,60,0
19-06-2019,6,59,1
19-06-2019,7,59,1
19-06-2019,8,58,2
19-06-2019,9,57,3
19-06-2019,10,60,0
19-06-2019,11,56,4
19-06-2019,12,53,7
19-06-2019,13,58,2
19-06-2019,14,59,1
19-06-2019,15,60,0
19-06-2019,16,58,2
19-06-2019,17,58,2
19-06-2019,18,59,1
19-06-2019,19,59,1
19-06-2019,20,60,0
19-06-2019,21,60,0
19-06-2019,22,58,2
19-06-2019,23,60,0
20-06-2019,0,48,12
20-06-2019,1,58,2
20-06-2019,2,60,0
20-06-2019,3,58,2
20-06-2019,4,60,0
20-06-2019,5,58,2
20-06-2019,6,59,1
20-06-2019,7,60,0
20-06-2019,8,57,3
20-06-2019,9,52,8
20-06-2019,10,50,10
20-06-2019,11,49,11
20-06-2019,12,57,3
20-06-2019,13,51,9
20-06-2019,14,51,9
20-06-2019,15,57,3
20-06-2019,16,49,11
20-06-2019,17,48,12
20-06-2019,18,59,1
20-06-2019,19,59,1
20-06-2019,20,60,0
20-06-2019,21,60,0
20-06-2019,22,58,2
20-06-2019,23,60,0
21-06-2019,0,60,0
21-06-2019,1,58,2
21-06-2019,2,59,1
21-06-2019,3,60,0
21-06-2019,4,60,0
21-06-2019,5,60,0
21-06-2019,6,60,0
21-06-2019,7,60,0
21-06-2019,8,58,2
21-06-2019,9,60,0
21-06-2019,10,59,1
21-06-2019,11,60,0
21-06-2019,12,60,0
21-06-2019,13,60,0
21-06-2019,14,58,2
21-06-2019,15,59,1
21-06-2019,16,60,0
21-06-2019,17,59,1
21-06-2019,18,59,1
21-06-2019,19,58,2
21-06-2019,20,60,0
21-06-2019,21,58,2
21-06-2019,22,56,4
21-06-2019,23,53,7
22-06-2019,0,59,1
22-06-2019,1,55,5
22-06-2019,2,46,14
22-06-2019,3,46,14
22-06-2019,4,54,6
22-06-2019,5,59,1
22-06-2019,6,58,2
22-06-2019,7,58,2
22-06-2019,8,55,5
22-06-2019,9,56,4
22-06-2019,10,58,2
22-06-2019,11,59,1
22-06-2019,12,59,1
22-06-2019,13,58,2
22-06-2019,14,59,1
22-06-2019,15,60,0
22-06-2019,16,57,3
22-06-2019,17,59,1
22-06-2019,18,58,2
22-06-2019,19,60,0
22-06-2019,20,58,2
22-06-2019,21,58,2
22-06-2019,22,59,1
22-06-2019,23,59,1
23-06-2019,0,59,1
23-06-2019,1,60,0
23-06-2019,2,60,0
23-06-2019,3,60,0
23-06-2019,4,60,0
23-06-2019,5,59,1
23-06-2019,6,60,0
23-06-2019,7,60,0
23-06-2019,8,60,0
23-06-2019,9,59,1
23-06-2019,10,59,1
23-06-2019,11,59,1
23-06-2019,12,59,1
23-06-2019,13,58,2
23-06-2019,14,47,13
23-06-2019,15,51,9
23-06-2019,16,46,14
