"temperature
(°C degrees)","pressure
(hpa)","humidity
(%)","wind_speed
(km/h)","wind_direction
(degrees from North)",solarradiation (W/m2),uv index,"rainfall
(mm)","total_rainfall
(mm)"
29.9,1002.7,80,1.7881599999999997,141,0.0,0,0.0,684.784,18-06-2019,00:00
29.5,1002.0,81,1.38583,169,0.0,0,0.0,684.784,18-06-2019,01:00
29.4,1001.4,80,2.10109,207,0.0,0,0.0,684.784,18-06-2019,02:00
29.1,1000.7,82,0.40234000000000003,184,0.0,0,0.0,684.784,18-06-2019,03:00
28.8,1001.0,83,0.80467,177,0.0,0,0.0,684.784,18-06-2019,04:00
28.7,1001.4,82,0.98349,207,0.0,0,0.0,684.784,18-06-2019,05:00
28.6,1001.7,80,2.2799099999999997,214,7.7,0,0.0,684.784,18-06-2019,06:00
29.1,1002.4,79,0.98349,222,66.8,0,0.0,684.784,18-06-2019,07:00
31.0,1003.0,70,1.6987599999999998,250,255.07,2,0.0,684.784,18-06-2019,08:00
32.8,1003.4,63,2.4140200000000003,291,667.96,6,0.0,684.784,18-06-2019,09:00
34.5,1003.0,53,1.60935,292,853.29,8,0.0,684.784,18-06-2019,10:00
35.6,1002.7,48,2.68225,279,946.51,9,0.0,684.784,18-06-2019,11:00
36.1,1002.0,43,1.6987599999999998,286,459.37,4,0.0,684.784,18-06-2019,12:00
36.9,1001.0,42,2.01168,208,368.72,3,0.0,684.784,18-06-2019,13:00
37.0,1000.0,40,1.2964200000000001,264,302.78,2,0.0,684.784,18-06-2019,14:00
37.1,999.3,41,0.98349,223,301.44,2,0.0,684.784,18-06-2019,15:00
37.1,999.3,42,3.21869,215,199.04,1,0.0,684.784,18-06-2019,16:00
33.2,999.7,64,2.68225,120,140.93,1,0.0,684.784,18-06-2019,17:00
31.2,999.7,78,2.68225,199,49.42,0,0.0,684.784,18-06-2019,18:00
31.0,1000.7,75,0.8940799999999999,188,0.0,0,0.0,684.784,18-06-2019,19:00
30.6,1001.0,80,2.4140200000000003,197,0.0,0,0.0,684.784,18-06-2019,20:00
30.6,1001.7,81,2.01168,185,0.0,0,0.0,684.784,18-06-2019,21:00
30.7,1001.7,80,1.2964200000000001,191,0.0,0,0.0,684.784,18-06-2019,22:00
31.1,1001.7,73,1.38583,219,0.0,0,0.0,684.784,18-06-2019,23:00
30.8,1001.7,71,1.38583,138,0.0,0,0.0,684.784,19-06-2019,00:00
30.1,1001.4,75,2.99517,226,0.0,0,0.0,684.784,19-06-2019,01:00
