"Plot Title:  bld 3 grnd flr"
"#","Date Time, GMT+05:30","Temp, °C (LGR S/N: 10357511, SEN S/N: 10357511)","RH, % (LGR S/N: 10357511, SEN S/N: 10357511)","Intensity, Lux (LGR S/N: 10357511, SEN S/N: 10357511)","Temp, °C (LGR S/N: 10357511, SEN S/N: 10357511)","Host Connected (LGR S/N: 10357511)","End Of File (LGR S/N: 10357511)"
1,06/01/19 12:00:00 AM,31.740,71.498,35.5,32.098,,
2,06/01/19 01:00:00 AM,31.561,70.707,35.5,31.996,,
3,06/01/19 02:00:00 AM,31.561,70.434,11.8,31.944,,
4,06/01/19 03:00:00 AM,31.433,71.018,11.8,31.893,,
5,06/01/19 04:00:00 AM,31.306,71.691,11.8,31.816,,
6,06/01/19 05:00:00 AM,31.382,71.614,11.8,31.765,,
7,06/01/19 06:00:00 AM,31.306,71.661,11.8,31.689,,
8,06/01/19 07:00:00 AM,31.204,69.974,11.8,31.612,,
9,06/01/19 08:00:00 AM,31.459,67.576,27.6,31.586,,
10,06/01/19 09:00:00 AM,31.740,66.980,27.6,31.637,,
11,06/01/19 10:00:00 AM,32.175,65.170,35.5,31.765,,
12,06/01/19 11:00:00 AM,32.665,62.978,35.5,31.996,,
13,06/01/19 12:00:00 PM,33.053,60.558,35.5,32.253,,
14,06/01/19 01:00:00 PM,33.391,57.564,35.5,32.484,,
15,06/01/19 02:00:00 PM,33.391,63.471,19.7,32.639,,
16,06/01/19 03:00:00 PM,33.313,62.330,27.6,32.768,,
17,06/01/19 04:00:00 PM,33.001,68.152,19.7,32.768,,
18,06/01/19 05:00:00 PM,32.742,69.824,11.8,32.717,,
19,06/01/19 06:00:00 PM,32.433,73.411,11.8,32.613,,
20,06/01/19 07:00:00 PM,32.355,73.818,11.8,32.587,,
21,06/01/19 08:00:00 PM,32.304,74.470,35.5,32.562,,
22,06/01/19 09:00:00 PM,32.381,74.785,35.5,32.587,,
23,06/01/19 10:00:00 PM,32.227,71.011,35.5,32.510,,
24,06/01/19 11:00:00 PM,32.175,71.305,43.4,32.458,,
25,06/02/19 12:00:00 AM,31.996,72.484,35.5,32.407,,
26,06/02/19 01:00:00 AM,31.816,73.084,35.5,32.304,,
27,06/02/19 02:00:00 AM,31.714,72.824,35.5,32.201,,
28,06/02/19 03:00:00 AM,31.663,72.331,35.5,32.124,,
29,06/02/19 04:00:00 AM,31.561,72.222,35.5,32.021,,
30,06/02/19 05:00:00 AM,31.484,72.268,35.5,31.919,,
31,06/02/19 06:00:00 AM,31.357,72.515,35.5,31.816,,
32,06/02/19 07:00:00 AM,31.331,73.113,51.2,31.740,,
33,06/02/19 08:00:00 AM,31.586,73.010,67.0,31.714,,
34,06/02/19 09:00:00 AM,31.868,71.128,27.6,31.765,,
35,06/02/19 10:00:00 AM,32.253,68.390,27.6,31.868,,
36,06/02/19 11:00:00 AM,32.717,64.670,27.6,32.047,,
37,06/02/19 12:00:00 PM,33.261,61.661,35.5,32.278,,
38,06/02/19 01:00:00 PM,33.809,57.306,43.4,32.587,,
39,06/02/19 02:00:00 PM,34.124,56.424,35.5,32.820,,
40,06/02/19 03:00:00 PM,34.387,58.732,35.5,33.131,,
41,06/02/19 04:00:00 PM,34.466,54.315,27.6,33.365,,
42,06/02/19 05:00:00 PM,33.914,62.960,11.8,33.365,,
43,06/02/19 06:00:00 PM,33.365,59.087,11.8,33.261,,
44,06/02/19 07:00:00 PM,32.949,60.257,11.8,33.131,,
45,06/02/19 08:00:00 PM,32.794,57.953,11.8,33.053,,
46,06/02/19 09:00:00 PM,32.587,60.265,11.8,32.949,,
47,06/02/19 10:00:00 PM,32.433,61.531,11.8,32.872,,
48,06/02/19 11:00:00 PM,32.253,60.118,11.8,32.768,,
49,06/03/19 12:00:00 AM,32.175,60.516,11.8,32.665,,
50,06/03/19 01:00:00 AM,32.124,60.665,11.8,32.562,,
51,06/03/19 02:00:00 AM,32.098,61.164,11.8,32.510,,
52,06/03/19 03:00:00 AM,31.944,61.798,11.8,32.407,,
53,06/03/19 04:00:00 AM,31.893,61.790,11.8,32.330,,
54,06/03/19 05:00:00 AM,31.816,61.496,11.8,32.227,,
55,06/03/19 06:00:00 AM,31.868,61.096,11.8,32.175,,
56,06/03/19 07:00:00 AM,31.791,62.618,11.8,32.098,,
57,06/03/19 08:00:00 AM,31.944,63.111,19.7,32.098,,
58,06/03/19 09:00:00 AM,32.201,61.149,27.6,32.150,,
59,06/03/19 10:00:00 AM,32.510,60.536,27.6,32.227,,
60,06/03/19 11:00:00 AM,32.898,59.143,35.5,32.355,,
61,06/03/19 12:00:00 PM,33.287,56.335,35.5,32.562,,
62,06/03/19 01:00:00 PM,33.495,60.247,35.5,32.717,,
63,06/03/19 02:00:00 PM,33.313,61.575,35.5,32.768,,
64,06/03/19 03:00:00 PM,33.131,64.240,35.5,32.794,,
65,06/03/19 04:00:00 PM,33.157,62.869,27.6,32.820,,
66,06/03/19 05:00:00 PM,32.949,66.106,19.7,32.794,,
67,06/03/19 06:00:00 PM,32.381,76.640,11.8,32.613,,
68,06/03/19 07:00:00 PM,31.996,78.700,11.8,32.458,,
69,06/03/19 08:00:00 PM,31.816,77.598,11.8,32.330,,
70,06/03/19 09:00:00 PM,31.919,74.576,11.8,32.304,,
71,06/03/19 10:00:00 PM,32.073,75.235,11.8,32.330,,
72,06/03/19 11:00:00 PM,31.970,75.813,11.8,32.278,,
73,06/04/19 12:00:00 AM,32.047,74.301,11.8,32.304,,
74,06/04/19 01:00:00 AM,32.021,73.153,11.8,32.278,,
75,06/04/19 02:00:00 AM,31.970,72.660,11.8,32.253,,
76,06/04/19 03:00:00 AM,31.842,72.606,11.8,32.227,,
77,06/04/19 04:00:00 AM,31.893,72.646,11.8,32.201,,
78,06/04/19 05:00:00 AM,31.765,73.345,11.8,32.150,,
79,06/04/19 06:00:00 AM,31.586,73.071,11.8,32.098,,
80,06/04/19 07:00:00 AM,31.561,72.040,19.7,32.047,,
81,06/04/19 08:00:00 AM,31.714,69.213,27.6,32.021,,
82,06/04/19 09:00:00 AM,32.047,64.962,35.5,32.098,,
83,06/04/19 10:00:00 AM,32.587,62.934,35.5,32.278,,
84,06/04/19 11:00:00 AM,33.365,59.562,35.5,32.562,,
85,06/04/19 12:00:00 PM,33.339,64.337,35.5,32.717,,
86,06/04/19 01:00:00 PM,33.443,63.979,122.2,32.846,,
87,06/04/19 02:00:00 PM,33.417,62.754,27.6,32.949,,
88,06/04/19 03:00:00 PM,33.495,63.769,27.6,33.053,,
89,06/04/19 04:00:00 PM,33.157,65.583,27.6,33.001,,
90,06/04/19 05:00:00 PM,32.924,66.906,11.8,32.949,,
91,06/04/19 06:00:00 PM,32.639,72.876,11.8,32.846,,
92,06/04/19 07:00:00 PM,32.227,74.636,35.5,32.742,,
93,06/04/19 08:00:00 PM,32.047,72.251,35.5,32.613,,
94,06/04/19 09:00:00 PM,32.047,74.571,35.5,32.562,,
95,06/04/19 10:00:00 PM,32.278,75.604,35.5,32.587,,
96,06/04/19 11:00:00 PM,32.201,71.553,35.5,32.562,,
97,06/05/19 12:00:00 AM,32.098,69.281,11.8,32.484,,
98,06/05/19 01:00:00 AM,31.842,67.090,11.8,32.381,,
99,06/05/19 02:00:00 AM,31.663,67.059,11.8,32.304,,
100,06/05/19 03:00:00 AM,31.663,68.317,11.8,32.253,,
101,06/05/19 04:00:00 AM,31.561,69.033,11.8,32.175,,
102,06/05/19 05:00:00 AM,31.408,70.406,11.8,32.073,,
103,06/05/19 06:00:00 AM,31.408,70.589,11.8,31.970,,
104,06/05/19 07:00:00 AM,31.408,70.163,11.8,31.919,,
105,06/05/19 08:00:00 AM,31.561,68.697,19.7,31.893,,
106,06/05/19 09:00:00 AM,31.816,67.976,35.5,31.919,,
107,06/05/19 10:00:00 AM,32.201,63.589,35.5,31.996,,
108,06/05/19 11:00:00 AM,32.536,62.769,35.5,32.124,,
109,06/05/19 12:00:00 PM,32.691,67.267,35.5,32.278,,
110,06/05/19 01:00:00 PM,32.742,67.830,35.5,32.355,,
111,06/05/19 02:00:00 PM,32.794,67.285,27.6,32.458,,
112,06/05/19 03:00:00 PM,32.717,67.549,27.6,32.484,,
113,06/05/19 04:00:00 PM,32.458,69.009,27.6,32.458,,
114,06/05/19 05:00:00 PM,32.253,72.743,19.7,32.381,,
