Date and Time,TA in,TA out,RH in,RH out,TWl-1 in,TWl-1 out,TWl-2 in,TWl-2 out,TRf in,TRf out,TG in,TG out,TW in,TW out,V in,iDampA,iDampW,Clo ,Wl-1Facing,Wl-2Facing
,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0.35,W,W
06-01-2019 00:00,31.74,32.098,71.498,69.709,32.098,,,,,,,,,,,,,,,
06-01-2019 01:00,31.561,31.51,70.707,70.516,31.996,,,,,,,,,,,,,,,
06-01-2019 02:00,31.561,31.357,70.434,70.61,31.944,,,,,,,,,,,,,,,
06-01-2019 03:00,31.433,30.976,71.018,72.384,31.893,,,,,,,,,,,,,,,
06-01-2019 04:00,31.306,30.722,71.691,73.628,31.816,,,,,,,,,,,,,,,
06-01-2019 05:00,31.382,30.621,71.614,73.669,31.765,,,,,,,,,,,,,,,
06-01-2019 06:00,31.306,30.444,71.661,73.875,31.689,,,,,,,,,,,,,,,
06-01-2019 07:00,31.204,30.571,69.974,70.951,31.612,,,,,,,,,,,,,,,
06-01-2019 08:00,31.459,30.95,67.576,67.855,31.586,,,,,,,,,,,,,,,
06-01-2019 09:00,31.74,31.97,66.98,64.919,31.637,,,,,,,,,,,,,,,
06-01-2019 10:00,32.175,33.287,65.17,60.088,31.765,,,,,,,,,,,,,,,
06-01-2019 11:00,32.665,35.022,62.978,53.68,31.996,,,,,,,,,,,,,,,
06-01-2019 12:00,33.053,36.092,60.558,50.199,32.253,,,,,,,,,,,,,,,
06-01-2019 13:00,33.391,37.453,57.564,44.453,32.484,,,,,,,,,,,,,,,
06-01-2019 14:00,33.391,37.178,63.471,52.67,32.639,,,,,,,,,,,,,,,
06-01-2019 15:00,33.313,37.728,62.33,49.748,32.768,,,,,,,,,,,,,,,
06-01-2019 16:00,33.001,37.151,68.152,56.246,32.768,,,,,,,,,,,,,,,
06-01-2019 17:00,32.742,36.389,69.824,58.968,32.717,,,,,,,,,,,,,,,
06-01-2019 18:00,32.433,35.288,73.411,64.94,32.613,,,,,,,,,,,,,,,
06-01-2019 19:00,32.355,34.387,73.818,66.784,32.587,,,,,,,,,,,,,,,
06-01-2019 20:00,32.304,34.176,74.47,68.018,32.562,,,,,,,,,,,,,,,
06-01-2019 21:00,32.381,33.783,74.785,69.673,32.587,,,,,,,,,,,,,,,
06-01-2019 22:00,32.227,33.105,71.011,67.215,32.51,,,,,,,,,,,,,,,
06-01-2019 23:00,32.175,32.433,71.305,70.013,32.458,,,,,,,,,,,,,,,
06-02-2019 00:00,31.996,31.868,72.484,73.124,32.407,,,,,,,,,,,,,,,
06-02-2019 01:00,31.816,31.586,73.084,73.883,32.304,,,,,,,,,,,,,,,
06-02-2019 02:00,31.714,31.128,72.824,74.604,32.201,,,,,,,,,,,,,,,
06-02-2019 03:00,31.663,30.874,72.331,74.615,32.124,,,,,,,,,,,,,,,
06-02-2019 04:00,31.561,30.646,72.222,75.167,32.021,,,,,,,,,,,,,,,
06-02-2019 05:00,31.484,30.293,72.268,76.317,31.919,,,,,,,,,,,,,,,
06-02-2019 06:00,31.357,30.091,72.515,76.898,31.816,,,,,,,,,,,,,,,
06-02-2019 07:00,31.331,30.091,73.113,77.371,31.74,,,,,,,,,,,,,,,
06-02-2019 08:00,31.586,30.621,73.01,75.698,31.714,,,,,,,,,,,,,,,
06-02-2019 09:00,31.868,31.637,71.128,70.448,31.765,,,,,,,,,,,,,,,
06-02-2019 10:00,32.253,32.768,68.39,65.517,31.868,,,,,,,,,,,,,,,
06-02-2019 11:00,32.717,34.334,64.67,57.671,32.047,,,,,,,,,,,,,,,
06-02-2019 12:00,33.261,36.227,61.661,51.496,32.278,,,,,,,,,,,,,,,
06-02-2019 13:00,33.809,38.06,57.306,44.691,32.587,,,,,,,,,,,,,,,
06-02-2019 14:00,34.124,38.896,56.424,43.134,32.82,,,,,,,,,,,,,,,
06-02-2019 15:00,34.387,40.057,58.732,44.852,33.131,,,,,,,,,,,,,,,
06-02-2019 16:00,34.466,40.4,54.315,39.619,33.365,,,,,,,,,,,,,,,
06-02-2019 17:00,33.914,39.149,62.96,49.231,33.365,,,,,,,,,,,,,,,
06-02-2019 18:00,33.365,36.498,59.087,46.978,33.261,,,,,,,,,,,,,,,
06-02-2019 19:00,32.949,34.124,60.257,55.974,33.131,,,,,,,,,,,,,,,
06-02-2019 20:00,32.794,33.339,57.953,54.481,33.053,,,,,,,,,,,,,,,
06-02-2019 21:00,32.587,32.33,60.265,60.162,32.949,,,,,,,,,,,,,,,
06-02-2019 22:00,32.433,32.665,61.531,59.677,32.872,,,,,,,,,,,,,,,
06-02-2019 23:00,32.253,32.15,60.118,58.934,32.768,,,,,,,,,,,,,,,
06-03-2019 00:00,32.175,31.306,60.516,61.916,32.665,,,,,,,,,,,,,,,
06-03-2019 01:00,32.124,30.976,60.665,63.016,32.562,,,,,,,,,,,,,,,
06-03-2019 02:00,32.098,30.394,61.164,65.273,32.51,,,,,,,,,,,,,,,
06-03-2019 03:00,31.944,30.52,61.798,65.016,32.407,,,,,,,,,,,,,,,
06-03-2019 04:00,31.893,30.217,61.79,65.643,32.33,,,,,,,,,,,,,,,
06-03-2019 05:00,31.816,30.066,61.496,65.802,32.227,,,,,,,,,,,,,,,
06-03-2019 06:00,31.868,29.84,61.096,66.224,32.175,,,,,,,,,,,,,,,
06-03-2019 07:00,31.791,30.217,62.618,66.809,32.098,,,,,,,,,,,,,,,
06-03-2019 08:00,31.944,30.798,63.111,65.495,32.098,,,,,,,,,,,,,,,
06-03-2019 09:00,32.201,31.791,61.149,60.33,32.15,,,,,,,,,,,,,,,
06-03-2019 10:00,32.51,33.027,60.536,57.319,32.227,,,,,,,,,,,,,,,
06-03-2019 11:00,32.898,34.492,59.143,52.277,32.355,,,,,,,,,,,,,,,
06-03-2019 12:00,33.287,35.823,56.335,47.99,32.562,,,,,,,,,,,,,,,
06-03-2019 13:00,33.495,36.878,60.247,50.662,32.717,,,,,,,,,,,,,,,
06-03-2019 14:00,33.313,37.069,61.575,51.18,32.768,,,,,,,,,,,,,,,
06-03-2019 15:00,33.131,37.288,64.24,52.717,32.794,,,,,,,,,,,,,,,
06-03-2019 16:00,33.157,37.7,62.869,49.679,32.82,,,,,,,,,,,,,,,
06-03-2019 17:00,32.949,37.343,66.106,53.77,32.794,,,,,,,,,,,,,,,
06-03-2019 18:00,32.381,35.502,76.64,66.445,32.613,,,,,,,,,,,,,,,
06-03-2019 19:00,31.996,34.308,78.7,71.513,32.458,,,,,,,,,,,,,,,
06-03-2019 20:00,31.816,33.626,77.598,70.809,32.33,,,,,,,,,,,,,,,
06-03-2019 21:00,31.919,33.287,74.576,69.401,32.304,,,,,,,,,,,,,,,
06-03-2019 22:00,32.073,32.949,75.235,72.237,32.33,,,,,,,,,,,,,,,
06-03-2019 23:00,31.97,32.613,75.813,73.536,32.278,,,,,,,,,,,,,,,
06-04-2019 00:00,32.047,32.51,74.301,71.913,32.304,,,,,,,,,,,,,,,
06-04-2019 01:00,32.021,32.15,73.153,72.24,32.278,,,,,,,,,,,,,,,
06-04-2019 02:00,31.97,31.816,72.66,72.481,32.253,,,,,,,,,,,,,,,
06-04-2019 03:00,31.842,31.23,72.606,73.995,32.227,,,,,,,,,,,,,,,
06-04-2019 04:00,31.893,30.95,72.646,75.226,32.201,,,,,,,,,,,,,,,
06-04-2019 05:00,31.765,30.672,73.345,77.014,32.15,,,,,,,,,,,,,,,
06-04-2019 06:00,31.586,30.469,73.071,76.173,32.098,,,,,,,,,,,,,,,
06-04-2019 07:00,31.561,30.495,72.04,74.691,32.047,,,,,,,,,,,,,,,
06-04-2019 08:00,31.714,30.9,69.213,70.799,32.021,,,,,,,,,,,,,,,
06-04-2019 09:00,32.047,32.047,64.962,62.815,32.098,,,,,,,,,,,,,,,
06-04-2019 10:00,32.587,33.783,62.934,57.206,32.278,,,,,,,,,,,,,,,
06-04-2019 11:00,33.365,35.395,59.562,52.886,32.562,,,,,,,,,,,,,,,
06-04-2019 12:00,33.339,36.579,64.337,54.642,32.717,,,,,,,,,,,,,,,
06-04-2019 13:00,33.443,37.59,63.979,51.149,32.846,,,,,,,,,,,,,,,
06-04-2019 14:00,33.417,38.115,62.754,50.161,32.949,,,,,,,,,,,,,,,
06-04-2019 15:00,33.495,38.476,63.769,49.545,33.053,,,,,,,,,,,,,,,
06-04-2019 16:00,33.157,37.949,65.583,51.689,33.001,,,,,,,,,,,,,,,
06-04-2019 17:00,32.924,37.315,66.906,53.995,32.949,,,,,,,,,,,,,,,
06-04-2019 18:00,32.639,35.985,72.876,62.693,32.846,,,,,,,,,,,,,,,
06-04-2019 19:00,32.227,34.916,74.636,64.972,32.742,,,,,,,,,,,,,,,
06-04-2019 20:00,32.047,34.229,72.251,64.671,32.613,,,,,,,,,,,,,,,
06-04-2019 21:00,32.047,33.652,74.571,68.759,32.562,,,,,,,,,,,,,,,
06-04-2019 22:00,32.278,33.079,75.604,71.197,32.587,,,,,,,,,,,,,,,
06-04-2019 23:00,32.201,32.536,71.553,68.961,32.562,,,,,,,,,,,,,,,
06-05-2019 00:00,32.098,31.204,69.281,70.673,32.484,,,,,,,,,,,,,,,
06-05-2019 01:00,31.842,29.565,67.09,73.766,32.381,,,,,,,,,,,,,,,
06-05-2019 02:00,31.663,28.841,67.059,75.113,32.304,,,,,,,,,,,,,,,
