Date and Time,TA in,TA out,RH in,RH out,TWl-1 in,TWl-1 out,TWl-2 in,TWl-2 out,TRf in,TRf out,TG in,TG out,TW in,TW out,V in,iDampA,iDampW,Clo ,Wl-1Facing,Wl-2Facing
,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0.35,E,E
06-01-2019 00:00,31.663,32.098,72.934,69.709,31.97,,,,,,,,,,,0.435,,,,
06-01-2019 01:00,31.535,31.51,72.096,70.516,31.868,,,,,,,,,,,-0.025,,,,
06-01-2019 02:00,31.51,31.357,72.242,70.61,31.816,,,,,,,,,,,-0.153,,,,
06-01-2019 03:00,31.382,30.976,72.58,72.384,31.74,,,,,,,,,,,-0.406,,,,
06-01-2019 04:00,31.281,30.722,72.953,73.628,31.663,,,,,,,,,,,-0.559,,,,
06-01-2019 05:00,31.23,30.621,73.124,73.669,31.612,,,,,,,,,,,-0.609,,,,
06-01-2019 06:00,31.179,30.444,73.355,73.875,31.561,,,,,,,,,,,-0.735,,,,
06-01-2019 07:00,31.103,30.571,71.774,70.951,31.484,,,,,,,,,,,-0.532,,,,
06-01-2019 08:00,31.331,30.95,70.423,67.855,31.51,,,,,,,,,,,-0.381,,,,
06-01-2019 09:00,31.561,31.97,70.586,64.919,31.586,,,,,,,,,,,0.409,,,,
06-01-2019 10:00,31.944,33.287,68.366,60.088,31.714,,,,,,,,,,,1.343,,,,
06-01-2019 11:00,32.536,35.022,65.354,53.68,31.97,,,,,,,,,,,2.486,,,,
06-01-2019 12:00,32.846,36.092,63.632,50.199,32.175,,,,,,,,,,,3.246,,,,
06-01-2019 13:00,33.209,37.453,59.602,44.453,32.407,,,,,,,,,,,4.244,,,,
06-01-2019 14:00,33.235,37.178,65.658,52.67,32.51,,,,,,,,,,,3.943,,,,
06-01-2019 15:00,33.131,37.728,64.022,49.748,32.639,,,,,,,,,,,4.597,,,,
06-01-2019 16:00,32.82,37.151,70.113,56.246,32.587,,,,,,,,,,,4.331,,,,
06-01-2019 17:00,32.562,36.389,71.65,58.968,32.536,,,,,,,,,,,3.827,,,,
06-01-2019 18:00,32.278,35.288,75.095,64.94,32.433,,,,,,,,,,,3.01,,,,
06-01-2019 19:00,32.175,34.387,75.764,66.784,32.407,,,,,,,,,,,2.212,,,,
06-01-2019 20:00,32.073,34.176,76.519,68.018,32.355,,,,,,,,,,,2.103,,,,
06-01-2019 21:00,32.073,33.783,77.501,69.673,32.381,,,,,,,,,,,1.71,,,,
06-01-2019 22:00,31.996,33.105,73.118,67.215,32.278,,,,,,,,,,,1.109,,,,
06-01-2019 23:00,31.868,32.433,73.395,70.013,32.201,,,,,,,,,,,0.565,,,,
06-02-2019 00:00,31.74,31.868,74.692,73.124,32.124,,,,,,,,,,,0.128,,,,
