Date and Time,TA in,TA out,RH in,RH out,TWl-1 in,TWl-1 out,TWl-2 in,TWl-2 out,TRf in,TRf out,TG in,TG out,TW in,TW out,V in,iDampA,iDampW,Clo ,Wl-1Facing,Wl-2Facing
,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0.35,E,E
06-01-2019 00:00,31.74,32.098,71.074,69.709,32.253,,32.15,,,,,,,,,0.358,,,,
06-01-2019 01:00,31.535,31.51,70.429,70.516,32.073,,32.021,,,,,,,,,-0.025,,,,
06-01-2019 02:00,31.561,31.357,70.404,70.61,31.97,,31.919,,,,,,,,,-0.204,,,,
06-01-2019 03:00,31.408,30.976,71.104,72.384,31.842,,31.791,,,,,,,,,-0.432,,,,
06-01-2019 04:00,31.204,30.722,71.944,73.628,31.714,,31.689,,,,,,,,,-0.482,,,,
06-01-2019 05:00,31.357,30.621,71.609,73.669,31.663,,31.637,,,,,,,,,-0.736,,,,
06-01-2019 06:00,31.408,30.444,71.225,73.875,31.637,,31.561,,,,,,,,,-0.964,,,,
06-01-2019 07:00,31.204,30.571,69.609,70.951,31.561,,31.484,,,,,,,,,-0.633,,,,
06-01-2019 08:00,31.637,30.95,67.177,67.855,31.637,,31.561,,,,,,,,,-0.687,,,,
06-01-2019 09:00,31.97,31.97,66.403,64.919,31.791,,31.663,,,,,,,,,0,,,,
06-01-2019 10:00,32.407,33.287,64.152,60.088,32.047,,31.842,,,,,,,,,0.88,,,,
06-01-2019 11:00,33.001,35.022,61.62,53.68,32.407,,32.098,,,,,,,,,2.021,,,,
06-01-2019 12:00,33.365,36.092,59.118,50.199,32.742,,32.355,,,,,,,,,2.727,,,,
06-01-2019 13:00,33.757,37.453,55.569,44.453,33.079,,32.613,,,,,,,,,3.696,,,,
06-01-2019 14:00,33.652,37.178,62.195,52.67,33.157,,32.768,,,,,,,,,3.526,,,,
06-01-2019 15:00,33.6,37.728,61.211,49.748,33.235,,32.898,,,,,,,,,4.128,,,,
06-01-2019 16:00,33.183,37.151,67.29,56.246,33.079,,32.846,,,,,,,,,3.968,,,,
