Date and Time,TA in,TA out,RH in,RH out,TWl-1 in,TWl-1 out,TWl-2 in,TWl-2 out,TRf in,TRf out,TG in,TG out,TW in,TW out,V in,iDampA,iDampW,iDampW2,Clo ,Wl-1Facing,Wl-2Facing
,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0.35,W,W
06-02-2019 00:00,32.433,31.868,70.318,73.124,,,,,33.809,31.128,,,,,,-0.565,-2.681,0,,,
06-02-2019 01:00,32.33,31.586,70.817,73.883,,,,,33.704,30.697,,,,,,-0.744,-3.007,0,,,
06-02-2019 02:00,32.073,31.128,70.892,74.604,,,,,33.495,30.343,,,,,,-0.945,-3.152,0,,,
06-02-2019 03:00,31.97,30.874,70.721,74.615,,,,,33.365,30.016,,,,,,-1.096,-3.349,0,,,
06-02-2019 04:00,32.021,30.646,70.244,75.167,,,,,33.287,29.665,,,,,,-1.375,-3.622,0,,,
06-02-2019 05:00,31.816,30.293,70.48,76.317,,,,,33.105,29.315,,,,,,-1.523,-3.79,0,,,
06-02-2019 06:00,31.893,30.091,70.281,76.898,,,,,33.001,28.941,,,,,,-1.802,-4.06,0,,,
06-02-2019 07:00,31.408,30.091,71.861,77.371,,,,,32.691,29.515,,,,,,-1.317,-3.176,0,,,
06-02-2019 08:00,31.51,30.621,72.272,75.698,,,,,32.536,30.874,,,,,,-0.889,-1.662,0,,,
06-02-2019 09:00,31.868,31.637,70.124,70.448,,,,,32.484,33.339,,,,,,-0.231,0.855,0,,,
06-02-2019 10:00,32.304,32.768,67.631,65.517,,,,,32.587,36.444,,,,,,0.464,3.857,0,,,
06-02-2019 11:00,32.742,34.334,64.425,57.671,,,,,32.742,38.896,,,,,,1.592,6.154,0,,,
06-02-2019 12:00,33.287,36.227,61.193,51.496,,,,,32.975,42.594,,,,,,2.94,9.619,0,,,
06-02-2019 13:00,33.861,38.06,56.77,44.691,,,,,33.313,45.342,,,,,,4.199,12.029,0,,,
06-02-2019 14:00,34.097,38.896,56.067,43.134,,,,,33.6,46.385,,,,,,4.799,12.785,0,,,
06-02-2019 15:00,34.308,40.057,58.018,44.852,,,,,33.861,46.385,,,,,,5.749,12.524,0,,,
