Date and Time,TA in,TA out,RH in,RH out,TWl-1 in,TWl-1 out,TWl-2 in,TWl-2 out,TRf in,TRf out,TG in,TG out,TW in,TW out,V in,iDampA,iDampW,iDampW2,Clo ,Wl-1Facing,Wl-2Facing
,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0.35,W,W
06-08-2019 00:00,33.626,31.433,68.138,73.433,33.992,32.949,33.992,32.975,,,,,,,,-2.193,-1.043,-1.017,,,
06-08-2019 01:00,33.548,31.052,69.048,75.604,33.757,32.562,33.783,32.562,,,,,,,,-2.496,-1.195,-1.221,,,
06-08-2019 02:00,33.391,30.748,69.695,76.97,33.521,32.201,33.521,32.227,,,,,,,,-2.643,-1.32,-1.294,,,
06-08-2019 03:00,33.209,30.495,70.275,78.218,33.313,31.893,33.313,31.893,,,,,,,,-2.714,-1.42,-1.42,,,
06-08-2019 04:00,33.027,30.217,70.883,78.955,33.079,31.535,33.079,31.535,,,,,,,,-2.81,-1.544,-1.544,,,
06-08-2019 05:00,32.846,30.091,71.307,78.812,32.846,31.255,32.846,31.23,,,,,,,,-2.755,-1.591,-1.616,,,
06-08-2019 06:00,32.691,29.916,71.552,79.684,32.639,30.976,32.613,30.95,,,,,,,,-2.775,-1.663,-1.663,,,
06-08-2019 07:00,32.433,29.815,72.384,78.257,32.407,31.179,32.381,31.153,,,,,,,,-2.618,-1.228,-1.228,,,
06-08-2019 08:00,32.355,30.52,65.293,67.841,32.227,31.714,32.201,31.689,,,,,,,,-1.835,-0.513,-0.512,,,
06-08-2019 09:00,32.278,31.816,62.352,61.465,32.098,32.639,32.098,32.613,,,,,,,,-0.462,0.541,0.515,,,
06-08-2019 10:00,32.613,33.626,60.426,53.618,32.175,33.966,32.175,33.914,,,,,,,,1.013,1.791,1.739,,,
06-08-2019 11:00,32.898,35.262,58.064,48.184,32.381,35.235,32.33,35.208,,,,,,,,2.364,2.854,2.878,,,
06-08-2019 12:00,33.235,36.498,56.167,44.88,32.691,36.633,32.613,36.606,,,,,,,,3.263,3.942,3.993,,,
06-08-2019 13:00,33.966,37.645,53.017,41.848,33.235,37.976,33.157,38.004,,,,,,,,3.679,4.741,4.847,,,
06-08-2019 14:00,34.519,38.812,57.89,45.818,33.861,41.972,33.809,41.825,,,,,,,,4.293,8.111,8.016,,,
06-08-2019 15:00,33.887,38.087,65.456,48.932,34.071,42.743,33.887,42.475,,,,,,,,4.2,8.672,8.588,,,
06-08-2019 16:00,33.626,37.178,70.839,58.058,34.308,43.647,34.019,43.404,,,,,,,,3.552,9.339,9.385,,,
06-08-2019 17:00,34.124,36.065,69.027,60.484,34.916,42.803,34.598,42.475,,,,,,,,1.941,7.887,7.877,,,
06-08-2019 18:00,34.097,34.863,70.282,64.525,35.182,39.971,34.783,39.658,,,,,,,,0.766,4.789,4.875,,,
06-08-2019 19:00,34.334,33.887,69.925,68.739,35.636,37.206,35.262,37.069,,,,,,,,-0.447,1.57,1.807,,,
06-08-2019 20:00,33.992,33.079,71.883,72.837,35.395,35.877,35.075,35.797,,,,,,,,-0.913,0.482,0.722,,,
06-08-2019 21:00,34.281,33.131,68.685,69.097,35.342,35.235,35.155,35.182,,,,,,,,-1.15,-0.107,0.027,,,
06-08-2019 22:00,34.176,32.562,65.193,67.553,35.022,34.572,34.889,34.545,,,,,,,,-1.614,-0.45,-0.344,,,
06-08-2019 23:00,33.887,31.996,66.947,71.333,34.677,33.992,34.598,33.966,,,,,,,,-1.891,-0.685,-0.632,,,
06-09-2019 00:00,33.678,31.459,67.993,74.008,34.334,33.443,34.334,33.443,,,,,,,,-2.219,-0.891,-0.891,,,
06-09-2019 01:00,33.548,31.23,68.155,74.294,34.045,32.949,34.045,32.949,,,,,,,,-2.318,-1.096,-1.096,,,
06-09-2019 02:00,33.443,30.798,67.335,74.152,33.783,32.536,33.783,32.536,,,,,,,,-2.645,-1.247,-1.247,,,
06-09-2019 03:00,33.209,30.621,66.46,73.159,33.521,32.175,33.469,32.15,,,,,,,,-2.588,-1.346,-1.319,,,
06-09-2019 04:00,33.001,30.243,66.331,73.716,33.235,31.791,33.209,31.791,,,,,,,,-2.758,-1.444,-1.418,,,
06-09-2019 05:00,32.794,29.966,66.172,73.813,32.975,31.459,32.949,31.433,,,,,,,,-2.828,-1.516,-1.516,,,
06-09-2019 06:00,32.742,29.74,65.482,72.843,32.768,31.23,32.742,31.23,,,,,,,,-3.002,-1.538,-1.512,,,
06-09-2019 07:00,32.562,30.066,65.048,70.496,32.536,31.433,32.536,31.433,,,,,,,,-2.496,-1.103,-1.103,,,
06-09-2019 08:00,32.665,31.052,64.413,66.585,32.433,32.098,32.458,32.073,,,,,,,,-1.613,-0.335,-0.385,,,
06-09-2019 09:00,32.691,32.253,63.825,61.878,32.381,32.949,32.433,32.924,,,,,,,,-0.438,0.568,0.491,,,
06-09-2019 10:00,32.898,33.914,62.671,57.194,32.458,34.045,32.458,33.992,,,,,,,,1.016,1.587,1.534,,,
06-09-2019 11:00,33.131,35.155,62.363,53.439,32.639,35.208,32.613,35.155,,,,,,,,2.024,2.569,2.542,,,
06-09-2019 12:00,33.417,36.389,59.824,48.159,32.924,36.254,32.846,36.2,,,,,,,,2.972,3.33,3.354,,,
06-09-2019 13:00,33.757,38.17,56.883,42.446,33.313,37.7,33.209,37.673,,,,,,,,4.413,4.387,4.464,,,
