Date and Time,TA in,TA out,RH in,RH out,TWl-1 in,TWl-1 out,TWl-2 in,TWl-2 out,TRf in,TRf out,TG in,TG out,TW in,TW out,V in,iDampA,iDampW,Clo ,Wl-1Facing,Wl-2Facing
,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0.35,W,W
06/19/19 12:00:00 AM,34.387,32.691,59.686,63.138,34.466,33.94,,,,,,,,,,,,,,
06/19/19 01:00:00 AM,34.229,32.253,60.582,65.864,34.334,33.626,,,,,,,,,,,,,,
06/19/19 02:00:00 AM,34.097,31.893,60.498,66.05,34.202,33.313,,,,,,,,,,,,,,
06/19/19 03:00:00 AM,33.914,31.433,59.106,64.209,34.045,33.001,,,,,,,,,,,,,,
06/19/19 04:00:00 AM,33.704,31.001,57.45,62.335,33.861,32.665,,,,,,,,,,,,,,
06/19/19 05:00:00 AM,33.548,30.571,57.044,63.943,33.678,32.304,,,,,,,,,,,,,,
06/19/19 06:00:00 AM,33.001,30.318,57.888,64.581,33.495,31.97,,,,,,,,,,,,,,
06/19/19 07:00:00 AM,32.665,30.571,57.934,62.733,33.131,31.919,,,,,,,,,,,,,,
06/19/19 08:00:00 AM,32.742,31.663,55.424,56.673,32.949,32.278,,,,,,,,,,,,,,
06/19/19 09:00:00 AM,33.027,32.975,52.857,51.49,32.924,33.001,,,,,,,,,,,,,,
06/19/19 10:00:00 AM,33.339,34.44,52.025,47.094,33.131,33.914,,,,,,,,,,,,,,
06/19/19 11:00:00 AM,33.835,35.904,49.582,42.87,33.443,34.969,,,,,,,,,,,,,,
06/19/19 12:00:00 PM,33.757,36.796,49.146,40.066,33.521,35.797,,,,,,,,,,,,,,
06/19/19 01:00:00 PM,33.992,37.535,49.798,45.401,33.73,36.579,,,,,,,,,,,,,,
06/19/19 02:00:00 PM,34.15,37.151,56.748,49.477,33.94,36.878,,,,,,,,,,,,,,
06/19/19 03:00:00 PM,34.229,36.824,59.662,52.786,34.124,37.124,,,,,,,,,,,,,,
06/19/19 04:00:00 PM,34.36,36.661,62.15,57.37,34.308,37.261,,,,,,,,,,,,,,
06/19/19 05:00:00 PM,34.413,35.368,67.657,66.329,34.44,36.824,,,,,,,,,,,,,,
06/19/19 06:00:00 PM,34.281,34.387,68.129,67.652,34.44,36.119,,,,,,,,,,,,,,
06/19/19 07:00:00 PM,34.387,33.626,66.909,68.446,34.598,35.422,,,,,,,,,,,,,,
06/19/19 08:00:00 PM,34.308,33.365,63.714,64.778,34.545,34.942,,,,,,,,,,,,,,
06/19/19 09:00:00 PM,34.36,32.924,63.471,67.43,34.519,34.519,,,,,,,,,,,,,,
