Date and Time,TA in,TA out,RH in,RH out,intensity_in,Intensity_out,TWl-1 in,TWl-1 out,TWl-2 in,TWl-2 out,TRf in,TRf out,TG in,TG out,TW in,TW out,V in,iDampA,iDampW,Clo ,Wl-1Facing,Wl-2Facing
,1,1,1,1,,,1,1,0,0,0,0,0,0,0,0,0,1,1,0.35,W,W
06-11-2019 00:00,34.36,32.742,51.674,51.07,11.8,,,,,,,,,,,,,,,,,
06-11-2019 01:00,34.229,32.073,51.624,50.787,11.8,,,,,,,,,,,,,,,,,
06-11-2019 02:00,34.019,31.612,51.433,52.117,11.8,,,,,,,,,,,,,,,,,
06-11-2019 03:00,33.835,31.23,51.344,54.889,11.8,,,,,,,,,,,,,,,,,
06-11-2019 04:00,33.678,30.849,51.356,58.643,11.8,,,,,,,,,,,,,,,,,
06-11-2019 05:00,33.548,30.343,51.598,61.544,11.8,,,,,,,,,,,,,,,,,
06-11-2019 06:00,33.417,30.091,51.938,63.183,11.8,,,,,,,,,,,,,,,,,
06-11-2019 07:00,33.313,30.268,52.313,63.924,11.8,,,,,,,,,,,,,,,,,
06-11-2019 08:00,33.209,31.204,52.817,61.18,11.8,,,,,,,,,,,,,,,,,
06-11-2019 09:00,33.469,32.407,54.016,56.527,11.8,,,,,,,,,,,,,,,,,
06-11-2019 10:00,33.365,33.313,54.033,53.736,11.8,,,,,,,,,,,,,,,,,
06-11-2019 11:00,33.235,34.942,54.209,48.968,11.8,,,,,,,,,,,,,,,,,
06-11-2019 12:00,32.665,36.471,53.228,44.676,11.8,,,,,,,,,,,,,,,,,
06-11-2019 13:00,32.304,37.343,52.759,41.275,11.8,,,,,,,,,,,,,,,,,
06-11-2019 14:00,32.227,38.644,52.329,38.791,11.8,,,,,,,,,,,,,,,,,
06-11-2019 15:00,32.227,39.093,52.135,35.847,11.8,,,,,,,,,,,,,,,,,
06-11-2019 16:00,32.872,39.234,52.771,35.377,11.8,,,,,,,,,,,,,,,,,
06-11-2019 17:00,33.365,39.121,52.968,36.711,11.8,,,,,,,,,,,,,,,,,
06-11-2019 18:00,34.704,38.309,54.251,38.826,11.8,,,,,,,,,,,,,,,,,
06-11-2019 19:00,35.689,37.425,54.064,41.216,11.8,,,,,,,,,,,,,,,,,
06-11-2019 20:00,35.77,36.688,52.709,43.226,11.8,,,,,,,,,,,,,,,,,
06-11-2019 21:00,35.422,35.904,52.271,45.144,11.8,,,,,,,,,,,,,,,,,
06-11-2019 22:00,35.128,34.916,51.776,46.622,11.8,,,,,,,,,,,,,,,,,
06-11-2019 23:00,34.836,34.097,51.672,48.632,11.8,,,,,,,,,,,,,,,,,
06-12-2019 00:00,34.624,33.417,51.546,50.377,11.8,,,,,,,,,,,,,,,,,
06-12-2019 01:00,34.413,32.742,51.388,52.107,11.8,,,,,,,,,,,,,,,,,
06-12-2019 02:00,34.097,32.098,51.248,54.596,11.8,,,,,,,,,,,,,,,,,
06-12-2019 03:00,33.809,31.561,51.438,57.769,11.8,,,,,,,,,,,,,,,,,
06-12-2019 04:00,33.704,31.153,51.847,59.917,11.8,,,,,,,,,,,,,,,,,
06-12-2019 05:00,33.652,31.001,52.294,61.023,11.8,,,,,,,,,,,,,,,,,
06-12-2019 06:00,33.574,31.23,52.673,60.996,11.8,,,,,,,,,,,,,,,,,
06-12-2019 07:00,33.443,30.976,53.108,62.829,11.8,,,,,,,,,,,,,,,,,
06-12-2019 08:00,33.417,31.51,53.557,61.103,11.8,,,,,,,,,,,,,,,,,
06-12-2019 09:00,33.548,32.872,54.51,56.019,11.8,,,,,,,,,,,,,,,,,
06-12-2019 10:00,34.942,34.229,56.317,51.786,11.8,,,,,,,,,,,,,,,,,
06-12-2019 11:00,34.836,35.636,54.948,47.106,11.8,,,,,,,,,,,,,,,,,
06-12-2019 12:00,34.308,36.688,54.261,45.069,11.8,,,,,,,,,,,,,,,,,
06-12-2019 13:00,33.652,38.06,53.233,41.351,11.8,,,,,,,,,,,,,,,,,
06-12-2019 14:00,33.235,36.715,52.497,49.026,11.8,,,,,,,,,,,,,,,,,
06-12-2019 15:00,32.975,38.616,51.912,47.567,11.8,,,,,,,,,,,,,,,,,
06-12-2019 16:00,32.717,39.431,51.261,38.013,11.8,,,,,,,,,,,,,,,,,
06-12-2019 17:00,32.562,39.346,50.916,37.97,11.8,,,,,,,,,,,,,,,,,
06-12-2019 18:00,34.124,38.421,52.585,40.03,11.8,,,,,,,,,,,,,,,,,
06-12-2019 19:00,35.075,37.728,52.746,42.735,11.8,,,,,,,,,,,,,,,,,
06-12-2019 20:00,35.368,36.742,52.785,46.243,11.8,,,,,,,,,,,,,,,,,
06-12-2019 21:00,34.995,36.012,52.182,47.682,11.8,,,,,,,,,,,,,,,,,
06-12-2019 22:00,32.536,35.368,51.043,49.383,11.8,,,,,,,,,,,,,,,,,
06-12-2019 23:00,33.678,34.942,52.751,50.444,11.8,,,,,,,,,,,,,,,,,
06/13/19 12:00:00 AM,33.992,34.281,52.988,52.509,11.8,,,,,,,,,,,,,,,,,
06/13/19 01:00:00 AM,34.281,33.443,53.481,54.592,11.8,,,,,,,,,,,,,,,,,
06/13/19 02:00:00 AM,34.44,32.484,53.697,58.002,11.8,,,,,,,,,,,,,,,,,
06/13/19 03:00:00 AM,34.492,32.175,53.834,59.065,11.8,,,,,,,,,,,,,,,,,
06/13/19 04:00:00 AM,34.466,31.689,53.927,60.849,11.8,,,,,,,,,,,,,,,,,
06/13/19 05:00:00 AM,34.413,31.026,54.017,63.149,11.8,,,,,,,,,,,,,,,,,
06/13/19 06:00:00 AM,34.281,30.773,54.128,61.987,11.8,,,,,,,,,,,,,,,,,
06/13/19 07:00:00 AM,34.15,30.9,54.207,61.507,11.8,,,,,,,,,,,,,,,,,
06/13/19 08:00:00 AM,34.019,31.637,54.35,60.086,11.8,,,,,,,,,,,,,,,,,
06/13/19 09:00:00 AM,33.992,32.846,54.54,56.303,11.8,,,,,,,,,,,,,,,,,
06/13/19 10:00:00 AM,34.783,33.966,55.876,53.114,11.8,,,,,,,,,,,,,,,,,
06/13/19 11:00:00 AM,34.598,35.422,55.205,47.874,11.8,,,,,,,,,,,,,,,,,
06/13/19 12:00:00 PM,34.572,36.715,55.137,44.302,11.8,,,,,,,,,,,,,,,,,
06/13/19 01:00:00 PM,34.73,37.645,54.966,41.036,11.8,,,,,,,,,,,,,,,,,
06/13/19 02:00:00 PM,34.783,39.065,54.553,44.503,11.8,,,,,,,,,,,,,,,,,
06/13/19 03:00:00 PM,35.049,37.425,54.849,53.455,11.8,,,,,,,,,,,,,,,,,
06/13/19 04:00:00 PM,35.102,36.878,55.083,57.079,11.8,,,,,,,,,,,,,,,,,
06/13/19 05:00:00 PM,35.022,35.716,55.523,60.621,11.8,,,,,,,,,,,,,,,,,
06/13/19 06:00:00 PM,34.704,33.287,56.154,55.95,11.8,,,,,,,,,,,,,,,,,
06/13/19 07:00:00 PM,34.281,31.893,55.997,62.791,11.8,,,,,,,,,,,,,,,,,
06/13/19 08:00:00 PM,33.495,32.304,55.788,67.323,11.8,,,,,,,,,,,,,,,,,
06/13/19 09:00:00 PM,33.209,30.621,56.323,71.111,11.8,,,,,,,,,,,,,,,,,
06/13/19 10:00:00 PM,33.001,29.34,56.709,71.237,11.8,,,,,,,,,,,,,,,,,
06/13/19 11:00:00 PM,32.691,29.916,57.014,67.063,11.8,,,,,,,,,,,,,,,,,
06/14/19 12:00:00 AM,32.562,29.89,57.6,68.249,11.8,,,,,,,,,,,,,,,,,
06/14/19 01:00:00 AM,32.484,29.34,57.939,71.898,11.8,,,,,,,,,,,,,,,,,
06/14/19 02:00:00 AM,32.407,29.09,58.435,74.509,11.8,,,,,,,,,,,,,,,,,
06/14/19 03:00:00 AM,32.407,29.065,58.815,75.749,11.8,,,,,,,,,,,,,,,,,
06/14/19 04:00:00 AM,32.381,28.965,59.096,76.025,11.8,,,,,,,,,,,,,,,,,
06/14/19 05:00:00 AM,32.33,28.99,59.373,76.413,11.8,,,,,,,,,,,,,,,,,
06/14/19 06:00:00 AM,32.278,28.941,59.712,76.875,3.9,,,,,,,,,,,,,,,,,
06/14/19 07:00:00 AM,32.253,29.315,60.055,76.212,3.9,,,,,,,,,,,,,,,,,
06/14/19 08:00:00 AM,32.278,29.84,60.406,70.817,11.8,,,,,,,,,,,,,,,,,
06/14/19 09:00:00 AM,32.33,30.9,60.666,65.358,11.8,,,,,,,,,,,,,,,,,
06/14/19 10:00:00 AM,32.665,32.278,60.97,57.336,11.8,,,,,,,,,,,,,,,,,
06/14/19 11:00:00 AM,32.691,33.417,60.848,56.354,11.8,,,,,,,,,,,,,,,,,
06/14/19 12:00:00 PM,32.742,34.572,60.383,52.84,11.8,,,,,,,,,,,,,,,,,
06/14/19 01:00:00 PM,32.484,35.235,59.238,50.154,11.8,,,,,,,,,,,,,,,,,
06/14/19 02:00:00 PM,32.227,35.85,58.186,45.538,11.8,,,,,,,,,,,,,,,,,
06/14/19 03:00:00 PM,32.278,36.905,57.368,47.924,11.8,,,,,,,,,,,,,,,,,
06/14/19 04:00:00 PM,32.227,37.343,56.532,48.475,11.8,,,,,,,,,,,,,,,,,
06/14/19 05:00:00 PM,32.098,35.931,55.844,59.187,11.8,,,,,,,,,,,,,,,,,
06/14/19 06:00:00 PM,32.484,34.863,55.899,65.214,11.8,,,,,,,,,,,,,,,,,
06/14/19 07:00:00 PM,32.898,34.598,56.151,64.262,11.8,,,,,,,,,,,,,,,,,
