Date,Time,inttime,Comfort m/s,Acceptibly warm m/s,Mixed m/s,Temp,Rh,tw,TSI,PMV,PPD,Standrd Eff Temp,TA adj,Cool effect
02/06/2019,00:00,0,2.26,0.29,2.26,32.433,70.318,27.785818648676923,29.22771720248298,1.1763574153158376,34.100227926948975,28.05452598311927,29.629058793970238,2.8039412060297626
02/06/2019,01:00,1,2.26,0.29,2.26,32.33,70.817,27.777084257464253,29.148292009989472,1.1536822079442084,33.015792379737405,27.992259659695407,29.537829440506787,2.7921705594932114
02/06/2019,02:00,2,2.26,0.29,2.26,32.073,70.892,27.555125864975594,28.88846382510297,1.097019505612191,30.377807595048026,27.835563720999094,29.310052176042475,2.762947823957523
02/06/2019,03:00,3,2.26,0.29,2.26,31.97,70.721,27.43216067877711,28.773855547753836,1.0743156940652059,29.351115710449747,27.772366331002576,29.218778498196677,2.751221501803321
02/06/2019,04:00,4,2.26,0.29,2.26,32.021,70.244,27.397534033015233,28.801185540859176,1.0855074412387997,29.854985495332116,27.803477424766005,29.263947566696174,2.7570524333038273
02/06/2019,05:00,5,2.26,0.29,2.26,31.816,70.48,27.250753281507343,28.603252069394745,1.0403865065146167,27.850717478246864,27.67750875495315,29.082298306636957,2.733701693363043
02/06/2019,06:00,6,2.26,0.29,2.26,31.893,70.281,27.287169199494997,28.671833172134942,1.057321507700181,28.594449753377774,27.724878979852363,29.15052720881145,2.742472791188552
02/06/2019,07:00,7,1.04,0.0,1.04,31.408,71.861,27.109265310687988,29.002547948089095,0.9507343370097404,24.09192517195123,27.4246983150034,28.720647890839608,2.6873521091603925
02/06/2019,08:00,8,2.26,0.29,2.26,31.51,72.27199999999999,27.271104725258056,28.381550314069965,0.9732048101418537,25.00513254935774,27.48846402982835,28.811122836595427,2.698877163404574
02/06/2019,09:00,9,2.26,0.29,2.26,31.868000000000002,70.124,27.23759750229044,28.637940089395943,1.0518036899741279,28.35098597896588,27.709432202713113,29.128366146850084,2.7396338531499183
02/06/2019,10:00,10,2.26,0.29,2.26,32.304,67.631,27.20419793926726,28.952473023984805,1.1476657902237042,32.73074517681698,27.97525552330551,29.51464256484106,2.7893574351589403
02/06/2019,11:00,11,3.0,0.6,3.0,32.742,64.425,27.02905556497359,28.841324843065063,1.244022008638072,37.425911564662776,28.238333364451695,29.902460838129493,2.839539161870506
02/06/2019,12:00,12,3.0,0.6,3.0,33.287,61.193000000000005,26.919700425269184,29.213668460036107,1.3641674973994065,43.612023192192545,28.560789787725835,30.38485572137415,2.902144278625849
02/06/2019,13:00,13,-1.0,1.6,3,33.861,56.77,26.576235743561256,29.535511338070062,1.4908321150712633,50.402372670327686,28.893828896758297,30.89264546461101,2.9683545353889853
02/06/2019,14:00,14,-1.0,1.6,3,34.097,56.067,26.640994322839447,29.731276980487745,1.5430865262354176,53.24476564166049,29.029420957268325,31.10142559339118,2.9955744066088217
02/06/2019,15:00,15,-1.0,1.6,3,34.308,58.018,27.20502293447157,30.062192792870444,1.5901016884413302,55.80645803142884,29.150984771904284,31.288226248868884,3.0197737511311167
02/06/2019,16:00,16,-1.0,2.1,3,34.677,53.795,26.681080106786794,30.175723401943532,1.671620187974843,60.2270427850811,29.3579933215165,31.61431852076398,3.06268147923602
