Date,Time,inttime,Comfort m/s,Acceptibly warm m/s,Mixed m/s,Temp,Rh,tw,TSI,PMV,PPD,Standrd Eff Temp,TA adj,Cool effect
01/06/2019,00:00,0,2.26,0.29,2.26,31.663,72.934,27.52179001475281,28.57274638323435,1.00692197864111,26.41201292937498,27.583761154655303,28.946793375456878,2.716206624543121
01/06/2019,01:00,1,2.26,0.29,2.26,31.535,72.096,27.26488364117938,28.39825922017374,0.9786903123880802,25.231049816249495,27.50396792824421,28.833285942938584,2.7017140570614173
01/06/2019,02:00,2,2.26,0.29,2.26,31.51,72.242,27.266155111145395,28.38002583292327,0.973202304375394,25.005029616947112,27.488453759518627,28.811121665503133,2.698878334496867
01/06/2019,03:00,3,1.04,0.0,1.04,31.381999999999998,72.58,27.204562438928804,29.01252946358726,0.9450759643598164,23.865090075115162,27.40869023065286,28.697615460427244,2.6843845395727555
01/06/2019,04:00,4,1.04,0.0,1.04,31.281,72.953,27.173108103506024,28.927596528277043,0.9228988986468826,22.98829805690302,27.345562246801403,28.608044972195213,2.6729550278047856
01/06/2019,05:00,5,1.04,0.0,1.04,31.23,73.124,27.154535301991586,28.8838811054106,0.9117031530035442,22.55313933310825,27.313608491040117,28.562817920236604,2.6671820797633967
01/06/2019,06:00,6,1.04,0.0,1.04,31.179000000000002,73.355,27.145296255301332,28.84304047903,0.90051879618154,22.123475798255058,27.281637380453923,28.51760992004302,2.6613900799569814
01/06/2019,07:00,7,1.04,0.0,1.04,31.103,71.774,26.81519286005897,28.684748633295357,0.8836989615545013,21.48689298669042,27.233275297636364,28.45016854775871,2.652831452241291
01/06/2019,08:00,8,1.04,0.0,1.04,31.331,70.423,26.79887135087654,28.84958160846716,0.933683530375447,23.412231743777028,27.37605462008508,28.65230053121197,2.6786994687880283
01/06/2019,09:00,9,2.26,0.29,2.26,31.561,70.586,27.035996726031215,28.3471320503081,0.9842843875264018,25.46263469142754,27.519621592113666,28.856282466904496,2.704717533095503
