"Plot Title: AV_NV_AFG_DIN_GF_A4"
"#","Date Time, GMT+05:30","Temp, °C (LGR S/N: 10357506, SEN S/N: 10357506)","RH, % (LGR S/N: 10357506, SEN S/N: 10357506)","Intensity, Lux (LGR S/N: 10357506, SEN S/N: 10357506)","Temp, °C (LGR S/N: 10357506, SEN S/N: 10357506)"
1,06/11/19 12:00:00 AM,34.360,51.674,11.8,271.157
2,06/11/19 01:00:00 AM,34.229,51.624,11.8,271.157
3,06/11/19 02:00:00 AM,34.019,51.433,11.8,271.157
4,06/11/19 03:00:00 AM,33.835,51.344,11.8,271.157
5,06/11/19 04:00:00 AM,33.678,51.356,11.8,271.157
6,06/11/19 05:00:00 AM,33.548,51.598,11.8,271.157
7,06/11/19 06:00:00 AM,33.417,51.938,11.8,271.157
8,06/11/19 07:00:00 AM,33.313,52.313,11.8,271.157
9,06/11/19 08:00:00 AM,33.209,52.817,11.8,271.157
10,06/11/19 09:00:00 AM,33.469,54.016,11.8,271.157
11,06/11/19 10:00:00 AM,33.365,54.033,11.8,271.157
12,06/11/19 11:00:00 AM,33.235,54.209,11.8,271.157
13,06/11/19 12:00:00 PM,32.665,53.228,11.8,271.157
14,06/11/19 01:00:00 PM,32.304,52.759,11.8,271.157
15,06/11/19 02:00:00 PM,32.227,52.329,11.8,271.157
16,06/11/19 03:00:00 PM,32.227,52.135,11.8,271.157
17,06/11/19 04:00:00 PM,32.872,52.771,11.8,271.157
18,06/11/19 05:00:00 PM,33.365,52.968,11.8,271.157
19,06/11/19 06:00:00 PM,34.704,54.251,11.8,271.157
20,06/11/19 07:00:00 PM,35.689,54.064,11.8,271.157
21,06/11/19 08:00:00 PM,35.770,52.709,11.8,271.157
22,06/11/19 09:00:00 PM,35.422,52.271,11.8,271.157
23,06/11/19 10:00:00 PM,35.128,51.776,11.8,271.157
24,06/11/19 11:00:00 PM,34.836,51.672,11.8,271.157
25,06/12/19 12:00:00 AM,34.624,51.546,11.8,271.157
26,06/12/19 01:00:00 AM,34.413,51.388,11.8,271.157
27,06/12/19 02:00:00 AM,34.097,51.248,11.8,271.157
