"Plot Title: HMS_L1"
"#","Date Time, GMT+05:30","Temp, °C (LGR S/N: 10357509, SEN S/N: 10357509)","RH, % (LGR S/N: 10357509, SEN S/N: 10357509)","Intensity, Lux (LGR S/N: 10357509, SEN S/N: 10357509)","Temp, °C (LGR S/N: 10357509, SEN S/N: 10357509)"
1,06/01/19 12:00:00 AM,31.970,70.782,11.8,250.367
2,06/01/19 01:00:00 AM,31.765,70.349,11.8,250.367
3,06/01/19 02:00:00 AM,31.612,70.322,11.8,250.367
4,06/01/19 03:00:00 AM,31.408,71.195,11.8,250.367
5,06/01/19 04:00:00 AM,31.306,71.721,11.8,250.367
6,06/01/19 05:00:00 AM,31.179,72.301,11.8,250.367
7,06/01/19 06:00:00 AM,31.103,72.347,11.8,250.367
8,06/01/19 07:00:00 AM,31.077,70.528,11.8,250.367
9,06/01/19 08:00:00 AM,31.281,69.135,11.8,246.216
10,06/01/19 09:00:00 AM,31.740,68.024,11.8,246.216
11,06/01/19 10:00:00 AM,32.175,66.222,11.8,242.368
12,06/01/19 11:00:00 AM,33.027,61.499,43.4,33.053
13,06/01/19 12:00:00 PM,33.365,59.435,35.5,33.183
14,06/01/19 01:00:00 PM,33.783,55.925,35.5,33.417
15,06/01/19 02:00:00 PM,33.574,62.842,19.7,33.443
16,06/01/19 03:00:00 PM,33.443,61.753,27.6,33.417
17,06/01/19 04:00:00 PM,33.209,66.614,19.7,33.443
18,06/01/19 05:00:00 PM,33.053,68.223,11.8,33.495
19,06/01/19 06:00:00 PM,32.820,71.241,11.8,33.574
20,06/01/19 07:00:00 PM,32.872,71.555,59.1,33.783
21,06/01/19 08:00:00 PM,32.846,71.945,11.8,33.914
22,06/01/19 09:00:00 PM,33.001,71.913,11.8,34.071
23,06/01/19 10:00:00 PM,32.794,68.823,11.8,34.019
24,06/01/19 11:00:00 PM,32.613,69.158,11.8,33.940
25,06/02/19 12:00:00 AM,32.433,70.318,11.8,33.809
26,06/02/19 01:00:00 AM,32.330,70.817,11.8,33.704
27,06/02/19 02:00:00 AM,32.073,70.892,11.8,33.495
28,06/02/19 03:00:00 AM,31.970,70.721,11.8,33.365
29,06/02/19 04:00:00 AM,32.021,70.244,11.8,33.287
30,06/02/19 05:00:00 AM,31.816,70.480,11.8,33.105
31,06/02/19 06:00:00 AM,31.893,70.281,11.8,33.001
32,06/02/19 07:00:00 AM,31.408,71.861,11.8,32.691
33,06/02/19 08:00:00 AM,31.510,72.272,19.7,32.536
34,06/02/19 09:00:00 AM,31.868,70.124,35.5,32.484
35,06/02/19 10:00:00 AM,32.304,67.631,35.5,32.587
36,06/02/19 11:00:00 AM,32.742,64.425,27.6,32.742
37,06/02/19 12:00:00 PM,33.287,61.193,43.4,32.975
38,06/02/19 01:00:00 PM,33.861,56.770,51.2,33.313
39,06/02/19 02:00:00 PM,34.097,56.067,43.4,33.600
40,06/02/19 03:00:00 PM,34.308,58.018,35.5,33.861
41,06/02/19 04:00:00 PM,34.677,53.795,27.6,34.150
42,06/02/19 05:00:00 PM,34.071,61.442,11.8,34.124
43,06/02/19 06:00:00 PM,33.678,60.749,11.8,34.124
44,06/02/19 07:00:00 PM,33.313,59.301,11.8,34.150
45,06/02/19 08:00:00 PM,33.287,56.878,11.8,34.281
46,06/02/19 09:00:00 PM,33.235,58.495,11.8,34.466
47,06/02/19 10:00:00 PM,33.261,58.912,11.8,34.545
48,06/02/19 11:00:00 PM,32.949,58.167,11.8,34.519
49,06/03/19 12:00:00 AM,32.794,58.461,11.8,34.440
50,06/03/19 01:00:00 AM,32.975,58.234,11.8,34.413
51,06/03/19 02:00:00 AM,32.949,58.675,11.8,34.334
52,06/03/19 03:00:00 AM,32.872,58.917,11.8,34.202
53,06/03/19 04:00:00 AM,32.717,59.052,11.8,34.071
54,06/03/19 05:00:00 AM,32.458,58.918,11.8,33.835
55,06/03/19 06:00:00 AM,32.639,58.723,11.8,33.704
56,06/03/19 07:00:00 AM,32.458,60.402,11.8,33.521
57,06/03/19 08:00:00 AM,32.175,61.553,19.7,33.287
58,06/03/19 09:00:00 AM,32.433,59.894,27.6,33.157
59,06/03/19 10:00:00 AM,32.794,59.064,35.5,33.157
60,06/03/19 11:00:00 AM,33.209,57.377,43.4,33.261
61,06/03/19 12:00:00 PM,33.626,55.261,43.4,33.469
62,06/03/19 01:00:00 PM,33.600,59.027,35.5,33.548
63,06/03/19 02:00:00 PM,33.495,60.279,35.5,33.521
64,06/03/19 03:00:00 PM,33.365,62.809,35.5,33.548
65,06/03/19 04:00:00 PM,33.495,61.635,27.6,33.652
66,06/03/19 05:00:00 PM,33.339,64.118,11.8,33.757
67,06/03/19 06:00:00 PM,32.898,73.167,11.8,33.835
68,06/03/19 07:00:00 PM,32.691,74.274,11.8,33.914
69,06/03/19 08:00:00 PM,32.536,74.094,11.8,33.966
70,06/03/19 09:00:00 PM,32.639,71.542,11.8,34.071
71,06/03/19 10:00:00 PM,32.949,71.387,11.8,34.229
72,06/03/19 11:00:00 PM,32.665,72.275,11.8,34.176
73,06/04/19 12:00:00 AM,32.898,70.677,11.8,34.229
74,06/04/19 01:00:00 AM,32.898,69.699,11.8,34.176
75,06/04/19 02:00:00 AM,32.846,69.169,11.8,34.071
76,06/04/19 03:00:00 AM,32.562,69.455,11.8,33.887
77,06/04/19 04:00:00 AM,32.665,69.351,11.8,33.783
78,06/04/19 05:00:00 AM,32.717,69.391,11.8,33.730
79,06/04/19 06:00:00 AM,32.562,68.996,11.8,33.574
80,06/04/19 07:00:00 AM,32.355,68.500,11.8,33.365
81,06/04/19 08:00:00 AM,32.304,67.108,19.7,33.157
82,06/04/19 09:00:00 AM,32.562,63.367,27.6,33.079
83,06/04/19 10:00:00 AM,32.846,62.443,35.5,33.105
84,06/04/19 11:00:00 AM,33.287,59.962,35.5,33.287
85,06/04/19 12:00:00 PM,33.339,63.337,35.5,33.313
86,06/04/19 01:00:00 PM,33.417,63.412,35.5,33.365
87,06/04/19 02:00:00 PM,33.521,62.237,35.5,33.443
88,06/04/19 03:00:00 PM,33.678,63.141,27.6,33.574
89,06/04/19 04:00:00 PM,33.417,64.350,19.7,33.600
90,06/04/19 05:00:00 PM,33.339,65.147,11.8,33.730
91,06/04/19 06:00:00 PM,33.183,70.025,11.8,33.887
92,06/04/19 07:00:00 PM,32.975,70.660,11.8,34.019
93,06/04/19 08:00:00 PM,32.949,69.096,11.8,34.176
94,06/04/19 09:00:00 PM,32.898,70.524,11.8,34.281
95,06/04/19 10:00:00 PM,33.157,70.632,11.8,34.413
96,06/04/19 11:00:00 PM,32.898,68.503,11.8,34.387
97,06/05/19 12:00:00 AM,32.613,67.562,11.8,34.229
98,06/05/19 01:00:00 AM,32.278,65.837,11.8,33.992
99,06/05/19 02:00:00 AM,32.278,64.908,11.8,33.887
100,06/05/19 03:00:00 AM,32.407,65.364,11.8,33.861
101,06/05/19 04:00:00 AM,32.304,66.027,11.8,33.730
102,06/05/19 05:00:00 AM,31.919,67.933,11.8,33.469
103,06/05/19 06:00:00 AM,32.124,67.538,11.8,33.365
104,06/05/19 07:00:00 AM,31.919,67.410,19.7,33.209
105,06/05/19 08:00:00 AM,31.944,66.460,19.7,33.053
106,06/05/19 09:00:00 AM,32.304,65.780,43.4,33.001
107,06/05/19 10:00:00 AM,32.562,62.711,43.4,33.001
108,06/05/19 11:00:00 AM,32.794,61.650,43.4,33.027
109,06/05/19 12:00:00 PM,32.872,65.659,43.4,33.079
110,06/05/19 01:00:00 PM,32.924,66.101,35.5,33.053
111,06/05/19 02:00:00 PM,33.001,66.331,35.5,33.131
112,06/05/19 03:00:00 PM,32.949,66.168,27.6,33.183
113,06/05/19 04:00:00 PM,32.768,67.342,19.7,33.235
114,06/05/19 05:00:00 PM,32.587,70.590,11.8,33.261
115,06/05/19 06:00:00 PM,32.304,73.025,11.8,33.365
116,06/05/19 07:00:00 PM,32.278,72.597,11.8,33.495
117,06/05/19 08:00:00 PM,32.407,74.069,11.8,33.652
118,06/05/19 09:00:00 PM,32.433,72.323,11.8,33.783
119,06/05/19 10:00:00 PM,32.304,69.868,11.8,33.757
120,06/05/19 11:00:00 PM,32.227,66.663,11.8,33.730
121,06/06/19 12:00:00 AM,32.278,64.007,11.8,33.704
122,06/06/19 01:00:00 AM,32.304,63.481,11.8,33.652
123,06/06/19 02:00:00 AM,32.253,63.629,11.8,33.574
124,06/06/19 03:00:00 AM,32.201,64.398,11.8,33.469
125,06/06/19 04:00:00 AM,32.150,64.731,11.8,33.365
126,06/06/19 05:00:00 AM,32.201,64.988,11.8,33.261
127,06/06/19 06:00:00 AM,32.124,65.533,11.8,33.131
128,06/06/19 07:00:00 AM,31.893,67.037,19.7,32.924
129,06/06/19 08:00:00 AM,31.842,66.289,27.6,32.742
130,06/06/19 09:00:00 AM,32.047,65.055,27.6,32.665
131,06/06/19 10:00:00 AM,32.278,64.069,35.5,32.639
132,06/06/19 11:00:00 AM,32.484,66.244,35.5,32.639
133,06/06/19 12:00:00 PM,32.587,65.797,35.5,32.639
134,06/06/19 01:00:00 PM,32.665,66.707,27.6,32.665
135,06/06/19 02:00:00 PM,32.717,69.116,27.6,32.768
136,06/06/19 03:00:00 PM,32.562,71.194,27.6,32.768
137,06/06/19 04:00:00 PM,32.484,71.878,19.7,32.898
138,06/06/19 05:00:00 PM,32.330,72.999,11.8,33.001
139,06/06/19 06:00:00 PM,32.278,73.322,11.8,33.157
140,06/06/19 07:00:00 PM,32.227,74.035,11.8,33.313
141,06/06/19 08:00:00 PM,32.201,73.940,27.6,33.495
142,06/06/19 09:00:00 PM,32.201,72.310,11.8,33.574
143,06/06/19 10:00:00 PM,32.201,72.643,11.8,33.652
144,06/06/19 11:00:00 PM,32.278,74.044,11.8,33.704
145,06/07/19 12:00:00 AM,32.073,72.589,11.8,33.600
146,06/07/19 01:00:00 AM,31.996,72.725,11.8,33.521
147,06/07/19 02:00:00 AM,32.098,72.533,11.8,33.469
148,06/07/19 03:00:00 AM,31.919,72.771,11.8,33.287
149,06/07/19 04:00:00 AM,31.816,73.596,11.8,33.157
150,06/07/19 05:00:00 AM,31.842,73.631,11.8,33.053
151,06/07/19 06:00:00 AM,31.740,74.332,11.8,32.872
152,06/07/19 07:00:00 AM,31.535,75.430,11.8,32.665
153,06/07/19 08:00:00 AM,31.689,74.352,27.6,32.536
154,06/07/19 09:00:00 AM,31.996,71.727,35.5,32.536
155,06/07/19 10:00:00 AM,32.407,69.550,35.5,32.639
156,06/07/19 11:00:00 AM,32.717,67.364,43.4,32.742
157,06/07/19 12:00:00 PM,32.975,69.284,43.4,32.898
158,06/07/19 01:00:00 PM,33.001,70.329,51.2,32.924
159,06/07/19 02:00:00 PM,32.898,70.341,59.1,32.898
160,06/07/19 03:00:00 PM,32.872,71.828,35.5,32.949
161,06/07/19 04:00:00 PM,32.768,74.409,27.6,33.027
162,06/07/19 05:00:00 PM,32.355,76.873,11.8,33.079
163,06/07/19 06:00:00 PM,32.201,75.649,11.8,33.105
164,06/07/19 07:00:00 PM,32.150,74.441,11.8,33.235
165,06/07/19 08:00:00 PM,32.175,74.926,11.8,33.365
166,06/07/19 09:00:00 PM,32.201,73.639,11.8,33.469
167,06/07/19 10:00:00 PM,32.150,71.907,11.8,33.495
168,06/07/19 11:00:00 PM,32.175,70.971,11.8,33.495
169,06/08/19 12:00:00 AM,32.021,71.459,11.8,33.417
170,06/08/19 01:00:00 AM,31.944,72.202,11.8,33.313
171,06/08/19 02:00:00 AM,31.944,72.444,11.8,33.235
172,06/08/19 03:00:00 AM,31.893,72.706,11.8,33.157
173,06/08/19 04:00:00 AM,31.816,72.993,11.8,33.001
174,06/08/19 05:00:00 AM,31.944,72.353,11.8,32.924
175,06/08/19 06:00:00 AM,31.919,72.228,11.8,32.820
176,06/08/19 07:00:00 AM,31.637,72.357,11.8,32.639
177,06/08/19 08:00:00 AM,31.689,66.694,35.5,32.484
178,06/08/19 09:00:00 AM,32.047,63.844,43.4,32.433
179,06/08/19 10:00:00 AM,32.458,60.213,51.2,32.510
180,06/08/19 11:00:00 AM,33.053,57.131,59.1,32.742
181,06/08/19 12:00:00 PM,33.495,54.921,51.2,33.027
182,06/08/19 01:00:00 PM,33.940,52.884,51.2,33.339
183,06/08/19 02:00:00 PM,34.045,56.220,51.2,33.521
184,06/08/19 03:00:00 PM,33.600,60.864,35.5,33.417
185,06/08/19 04:00:00 PM,33.209,68.096,27.6,33.365
186,06/08/19 05:00:00 PM,32.949,69.494,11.8,33.417
187,06/08/19 06:00:00 PM,32.794,70.139,11.8,33.521
188,06/08/19 07:00:00 PM,32.639,72.180,11.8,33.626
189,06/08/19 08:00:00 PM,32.587,73.320,11.8,33.783
190,06/08/19 09:00:00 PM,32.742,70.770,11.8,33.887
191,06/08/19 10:00:00 PM,32.587,68.234,11.8,33.861
192,06/08/19 11:00:00 PM,32.381,69.546,11.8,33.809
193,06/09/19 12:00:00 AM,32.175,70.789,11.8,33.704
194,06/09/19 01:00:00 AM,32.073,70.922,11.8,33.574
195,06/09/19 02:00:00 AM,31.944,70.169,11.8,33.443
196,06/09/19 03:00:00 AM,31.765,69.466,11.8,33.261
197,06/09/19 04:00:00 AM,31.612,69.103,11.8,33.079
198,06/09/19 05:00:00 AM,31.484,68.775,11.8,32.898
199,06/09/19 06:00:00 AM,31.484,67.519,11.8,32.742
200,06/09/19 07:00:00 AM,31.382,66.764,27.6,32.536
201,06/09/19 08:00:00 AM,31.586,65.504,35.5,32.433
202,06/09/19 09:00:00 AM,32.073,64.315,43.4,32.587
203,06/09/19 10:00:00 AM,32.484,62.041,51.2,32.613
204,06/09/19 11:00:00 AM,32.949,60.888,51.2,32.794
205,06/09/19 12:00:00 PM,33.365,58.515,51.2,33.027
206,06/09/19 01:00:00 PM,34.019,53.769,51.2,33.391
207,06/09/19 02:00:00 PM,34.281,54.257,43.4,33.626
208,06/09/19 03:00:00 PM,34.598,52.259,35.5,33.940
209,06/09/19 04:00:00 PM,34.810,50.427,27.6,34.255
210,06/09/19 05:00:00 PM,34.836,50.692,11.8,34.466
211,06/09/19 06:00:00 PM,34.150,61.581,11.8,34.387
212,06/09/19 07:00:00 PM,33.809,64.383,11.8,34.440
213,06/09/19 08:00:00 PM,33.757,63.467,11.8,34.572
214,06/09/19 09:00:00 PM,33.600,62.470,11.8,34.624
215,06/09/19 10:00:00 PM,33.443,62.225,11.8,34.651
216,06/09/19 11:00:00 PM,33.313,62.078,11.8,34.651
217,06/10/19 12:00:00 AM,33.313,60.882,11.8,34.624
218,06/10/19 01:00:00 AM,33.105,60.913,11.8,34.519
219,06/10/19 02:00:00 AM,33.053,59.515,11.8,34.413
220,06/10/19 03:00:00 AM,32.742,57.818,11.8,34.202
221,06/10/19 04:00:00 AM,32.717,57.178,11.8,34.019
222,06/10/19 05:00:00 AM,32.587,57.286,11.8,33.835
223,06/10/19 06:00:00 AM,32.253,58.602,11.8,33.626
224,06/10/19 07:00:00 AM,32.073,60.185,27.6,33.365
225,06/10/19 08:00:00 AM,32.150,60.291,27.6,33.105
226,06/10/19 09:00:00 AM,32.330,59.278,27.6,32.949
227,06/10/19 10:00:00 AM,32.639,58.311,27.6,32.975
228,06/10/19 11:00:00 AM,32.794,57.221,51.2,32.975
229,06/10/19 12:00:00 PM,33.313,56.530,35.5,33.183
230,06/10/19 01:00:00 PM,33.835,54.614,51.2,33.469
231,06/10/19 02:00:00 PM,34.150,54.207,43.4,33.704
232,06/10/19 03:00:00 PM,34.413,52.656,43.4,33.966
233,06/10/19 04:00:00 PM,34.757,50.616,35.5,34.281
234,06/10/19 05:00:00 PM,34.942,45.764,19.7,34.519
235,06/10/19 06:00:00 PM,34.704,47.456,11.8,34.624
236,06/10/19 07:00:00 PM,34.492,49.764,11.8,34.677
237,06/10/19 08:00:00 PM,34.308,49.314,11.8,34.757
238,06/10/19 09:00:00 PM,34.097,49.452,11.8,34.757
239,06/10/19 10:00:00 PM,33.940,50.151,11.8,34.783
240,06/10/19 11:00:00 PM,33.757,50.519,35.5,34.757
241,06/11/19 12:00:00 AM,33.574,50.658,11.8,34.677
242,06/11/19 01:00:00 AM,33.365,49.195,11.8,34.545
243,06/11/19 02:00:00 AM,33.079,49.616,11.8,34.387
244,06/11/19 03:00:00 AM,33.001,50.876,11.8,34.281
245,06/11/19 04:00:00 AM,32.742,53.206,11.8,34.097
246,06/11/19 05:00:00 AM,32.587,54.921,11.8,33.887
247,06/11/19 06:00:00 AM,32.355,56.168,11.8,33.678
248,06/11/19 07:00:00 AM,32.278,57.495,11.8,33.469
249,06/11/19 08:00:00 AM,32.304,57.689,35.5,33.261
250,06/11/19 09:00:00 AM,32.665,56.500,43.4,33.261
251,06/11/19 10:00:00 AM,32.924,55.610,51.2,33.261
252,06/11/19 11:00:00 AM,33.365,53.904,59.1,33.391
253,06/11/19 12:00:00 PM,33.835,52.578,51.2,33.574
254,06/11/19 01:00:00 PM,34.308,50.264,59.1,33.835
255,06/11/19 02:00:00 PM,34.730,48.514,67.0,34.176
256,06/11/19 03:00:00 PM,35.102,45.483,43.4,34.492
257,06/11/19 04:00:00 PM,35.475,43.526,27.6,34.889
258,06/11/19 05:00:00 PM,35.448,44.958,27.6,35.102
259,06/11/19 06:00:00 PM,35.422,45.654,11.8,35.262
260,06/11/19 07:00:00 PM,35.182,46.985,11.8,35.315
261,06/11/19 08:00:00 PM,34.995,47.888,11.8,35.395
262,06/11/19 09:00:00 PM,34.889,48.928,11.8,35.502
263,06/11/19 10:00:00 PM,34.598,48.069,11.8,35.448
264,06/11/19 11:00:00 PM,34.387,48.996,11.8,35.395
265,06/12/19 12:00:00 AM,34.229,49.370,11.8,35.368
