"Plot Title: LL_B4_S"
"#","Date Time, GMT+05:30","Temp, °C (LGR S/N: 10348725, SEN S/N: 10348725)","RH, % (LGR S/N: 10348725, SEN S/N: 10348725)","Temp, °C (LGR S/N: 10348725, SEN S/N: 10348725)","Temp, °C (LGR S/N: 10348725, SEN S/N: 10348725)"
1,06/02/19 12:00:00 AM,31.255,75.405,31.128,167.219
2,06/02/19 01:00:00 AM,31.026,76.283,30.697,166.486
3,06/02/19 02:00:00 AM,30.748,76.436,30.343,165.765
4,06/02/19 03:00:00 AM,30.571,76.282,30.016,165.765
5,06/02/19 04:00:00 AM,30.419,76.460,29.665,165.057
6,06/02/19 05:00:00 AM,30.142,77.204,29.315,164.361
7,06/02/19 06:00:00 AM,29.991,77.822,28.941,163.002
8,06/02/19 07:00:00 AM,30.268,77.347,29.515,163.002
9,06/02/19 08:00:00 AM,30.773,75.996,30.874,165.057
10,06/02/19 09:00:00 AM,31.663,71.151,33.339,168.726
11,06/02/19 10:00:00 AM,32.691,66.155,36.444,171.911
12,06/02/19 11:00:00 AM,33.861,60.082,38.896,174.468
13,06/02/19 12:00:00 PM,35.182,54.932,42.594,178.134
14,06/02/19 01:00:00 PM,36.200,49.752,45.342,181.105
15,06/02/19 02:00:00 PM,36.824,48.080,46.385,182.142
16,06/02/19 03:00:00 PM,36.987,52.120,46.385,182.142
17,06/02/19 04:00:00 PM,37.288,45.940,45.593,181.105
18,06/02/19 05:00:00 PM,35.368,59.517,42.535,179.102
19,06/02/19 06:00:00 PM,34.413,55.469,39.121,175.355
20,06/02/19 07:00:00 PM,33.235,58.972,36.254,172.746
21,06/02/19 08:00:00 PM,33.001,56.357,34.387,171.092
22,06/02/19 09:00:00 PM,32.536,60.004,32.924,170.288
23,06/02/19 10:00:00 PM,31.996,62.182,31.919,168.726
24,06/02/19 11:00:00 PM,31.816,60.994,31.103,167.966
25,06/03/19 12:00:00 AM,31.561,61.675,30.469,167.966
26,06/03/19 01:00:00 AM,31.816,61.245,30.066,167.219
27,06/03/19 02:00:00 AM,31.791,61.962,29.740,167.219
28,06/03/19 03:00:00 AM,31.510,62.978,29.490,167.219
29,06/03/19 04:00:00 AM,31.382,62.895,29.365,167.219
30,06/03/19 05:00:00 AM,30.798,63.980,29.215,166.486
31,06/03/19 06:00:00 AM,31.357,62.486,29.165,166.486
32,06/03/19 07:00:00 AM,31.179,64.291,29.715,167.219
33,06/03/19 08:00:00 AM,31.791,63.304,31.791,168.726
34,06/03/19 09:00:00 AM,32.407,59.416,34.124,171.092
35,06/03/19 10:00:00 AM,33.391,57.149,36.987,173.598
36,06/03/19 11:00:00 AM,34.466,53.247,40.775,177.188
37,06/03/19 12:00:00 PM,35.475,49.660,43.982,180.092
38,06/03/19 01:00:00 PM,35.315,54.951,45.467,181.105
39,06/03/19 02:00:00 PM,34.651,57.141,44.043,180.092
40,06/03/19 03:00:00 PM,34.281,60.906,43.465,179.102
41,06/03/19 04:00:00 PM,34.572,58.185,42.267,178.134
42,06/03/19 05:00:00 PM,33.940,63.936,40.372,176.262
43,06/03/19 06:00:00 PM,32.253,78.900,37.151,167.966
44,06/03/19 07:00:00 PM,31.663,81.744,34.651,159.790
45,06/03/19 08:00:00 PM,31.128,80.814,33.027,159.177
46,06/03/19 09:00:00 PM,31.230,77.540,32.175,163.002
47,06/03/19 10:00:00 PM,31.612,77.557,31.842,163.002
48,06/03/19 11:00:00 PM,31.281,78.997,31.382,160.413
49,06/04/19 12:00:00 AM,31.357,76.705,31.001,162.339
50,06/04/19 01:00:00 AM,31.179,76.046,30.596,163.002
51,06/04/19 02:00:00 AM,31.103,75.852,30.167,163.002
52,06/04/19 03:00:00 AM,30.798,76.505,29.840,162.339
53,06/04/19 04:00:00 AM,30.621,77.418,29.464,161.687
54,06/04/19 05:00:00 AM,30.571,77.939,29.090,161.045
55,06/04/19 06:00:00 AM,30.217,77.897,28.791,161.045
56,06/04/19 07:00:00 AM,30.520,75.530,29.615,162.339
57,06/04/19 08:00:00 AM,31.179,70.911,31.306,166.486
58,06/04/19 09:00:00 AM,32.330,63.454,34.519,171.092
59,06/04/19 10:00:00 AM,33.678,59.039,38.198,174.468
60,06/04/19 11:00:00 AM,34.969,54.999,42.505,178.134
61,06/04/19 12:00:00 PM,34.836,59.596,43.951,179.102
62,06/04/19 01:00:00 PM,35.235,57.836,45.217,180.092
63,06/04/19 02:00:00 PM,35.102,57.624,45.467,181.105
64,06/04/19 03:00:00 PM,35.022,58.220,44.719,180.092
65,06/04/19 04:00:00 PM,34.097,62.581,42.893,178.134
66,06/04/19 05:00:00 PM,33.783,64.254,40.400,176.262
67,06/04/19 06:00:00 PM,32.820,73.997,37.480,174.468
68,06/04/19 07:00:00 PM,32.278,74.405,35.235,171.092
69,06/04/19 08:00:00 PM,32.124,72.084,33.783,169.500
70,06/04/19 09:00:00 PM,31.970,75.215,32.794,167.966
