"Plot Title: AV_NV_MUK_DM2_FF_217cm_A5"
"#","Date Time, GMT+05:30","Temp, °C (LGR S/N: 10357507, SEN S/N: 10357507)","RH, % (LGR S/N: 10357507, SEN S/N: 10357507)","Intensity, Lux (LGR S/N: 10357507, SEN S/N: 10357507)","Temp, °C (LGR S/N: 10357507, SEN S/N: 10357507)"
1,06/01/19 12:00:00 AM,31.663,72.934,3.9,31.970
2,06/01/19 01:00:00 AM,31.535,72.096,3.9,31.868
3,06/01/19 02:00:00 AM,31.510,72.242,3.9,31.816
4,06/01/19 03:00:00 AM,31.382,72.580,3.9,31.740
5,06/01/19 04:00:00 AM,31.281,72.953,3.9,31.663
6,06/01/19 05:00:00 AM,31.230,73.124,11.8,31.612
7,06/01/19 06:00:00 AM,31.179,73.355,3.9,31.561
8,06/01/19 07:00:00 AM,31.103,71.774,11.8,31.484
9,06/01/19 08:00:00 AM,31.331,70.423,3.9,31.510
10,06/01/19 09:00:00 AM,31.561,70.586,11.8,31.586
11,06/01/19 10:00:00 AM,31.944,68.366,11.8,31.714
12,06/01/19 11:00:00 AM,32.536,65.354,11.8,31.970
13,06/01/19 12:00:00 PM,32.846,63.632,11.8,32.175
14,06/01/19 01:00:00 PM,33.209,59.602,11.8,32.407
15,06/01/19 02:00:00 PM,33.235,65.658,11.8,32.510
16,06/01/19 03:00:00 PM,33.131,64.022,11.8,32.639
17,06/01/19 04:00:00 PM,32.820,70.113,11.8,32.587
18,06/01/19 05:00:00 PM,32.562,71.650,11.8,32.536
19,06/01/19 06:00:00 PM,32.278,75.095,11.8,32.433
20,06/01/19 07:00:00 PM,32.175,75.764,11.8,32.407
21,06/01/19 08:00:00 PM,32.073,76.519,11.8,32.355
22,06/01/19 09:00:00 PM,32.073,77.501,11.8,32.381
23,06/01/19 10:00:00 PM,31.996,73.118,3.9,32.278
24,06/01/19 11:00:00 PM,31.868,73.395,11.8,32.201
25,06/02/19 12:00:00 AM,31.740,74.692,11.8,32.124
26,06/02/19 01:00:00 AM,31.586,75.021,11.8,32.021
27,06/02/19 02:00:00 AM,31.484,74.822,3.9,31.944
28,06/02/19 03:00:00 AM,31.408,74.478,3.9,31.868
29,06/02/19 04:00:00 AM,31.281,74.274,3.9,31.765
30,06/02/19 05:00:00 AM,31.255,74.449,11.8,31.714
31,06/02/19 06:00:00 AM,31.128,74.992,11.8,31.612
32,06/02/19 07:00:00 AM,31.077,75.341,11.8,31.535
33,06/02/19 08:00:00 AM,31.255,75.465,11.8,31.561
34,06/02/19 09:00:00 AM,31.663,73.446,11.8,31.663
35,06/02/19 10:00:00 AM,31.970,70.508,11.8,31.791
36,06/02/19 11:00:00 AM,32.458,67.412,11.8,31.996
37,06/02/19 12:00:00 PM,33.001,63.938,11.8,32.278
38,06/02/19 01:00:00 PM,33.600,59.820,19.7,32.613
39,06/02/19 02:00:00 PM,33.809,59.217,11.8,32.794
40,06/02/19 03:00:00 PM,34.150,60.791,11.8,33.079
41,06/02/19 04:00:00 PM,34.334,56.165,27.6,33.313
42,06/02/19 05:00:00 PM,33.940,64.873,11.8,33.235
43,06/02/19 06:00:00 PM,33.183,62.591,11.8,32.975
44,06/02/19 07:00:00 PM,32.742,62.677,43.4,32.768
45,06/02/19 08:00:00 PM,32.587,60.737,43.4,32.691
46,06/02/19 09:00:00 PM,32.330,62.642,43.4,32.562
47,06/02/19 10:00:00 PM,32.073,63.848,3.9,32.407
48,06/02/19 11:00:00 PM,31.996,62.401,43.4,32.330
49,06/03/19 12:00:00 AM,31.893,62.728,3.9,32.227
50,06/03/19 01:00:00 AM,31.816,62.934,3.9,32.124
51,06/03/19 02:00:00 AM,31.714,63.852,11.8,32.021
52,06/03/19 03:00:00 AM,31.586,64.203,3.9,31.919
53,06/03/19 04:00:00 AM,31.535,64.288,11.8,31.816
54,06/03/19 05:00:00 AM,31.433,63.992,3.9,31.714
55,06/03/19 06:00:00 AM,31.459,64.213,3.9,31.663
56,06/03/19 07:00:00 AM,31.433,65.540,3.9,31.612
57,06/03/19 08:00:00 AM,31.561,66.179,11.8,31.612
58,06/03/19 09:00:00 AM,31.791,64.610,11.8,31.663
59,06/03/19 10:00:00 AM,32.175,63.803,11.8,31.842
60,06/03/19 11:00:00 AM,32.639,61.280,19.7,32.124
61,06/03/19 12:00:00 PM,33.001,59.063,19.7,32.278
62,06/03/19 01:00:00 PM,33.157,62.650,11.8,32.433
63,06/03/19 02:00:00 PM,33.053,64.071,11.8,32.458
64,06/03/19 03:00:00 PM,32.949,66.477,11.8,32.510
65,06/03/19 04:00:00 PM,33.027,64.348,11.8,32.562
66,06/03/19 05:00:00 PM,32.742,68.322,11.8,32.536
67,06/03/19 06:00:00 PM,32.201,78.594,11.8,32.330
68,06/03/19 07:00:00 PM,31.842,80.377,3.9,32.175
69,06/03/19 08:00:00 PM,31.663,79.311,43.4,32.021
70,06/03/19 09:00:00 PM,31.637,77.177,51.2,32.047
71,06/03/19 10:00:00 PM,31.791,78.422,43.4,32.073
72,06/03/19 11:00:00 PM,31.765,78.032,11.8,32.047
73,06/04/19 12:00:00 AM,31.791,76.494,3.9,32.021
74,06/04/19 01:00:00 AM,31.740,75.559,11.8,31.970
75,06/04/19 02:00:00 AM,31.689,74.892,11.8,31.893
76,06/04/19 03:00:00 AM,31.561,74.927,11.8,31.816
77,06/04/19 04:00:00 AM,31.561,75.046,11.8,31.765
78,06/04/19 05:00:00 AM,31.433,75.828,3.9,31.689
79,06/04/19 06:00:00 AM,31.331,75.181,11.8,31.612
80,06/04/19 07:00:00 AM,31.306,74.399,11.8,31.561
81,06/04/19 08:00:00 AM,31.459,71.991,3.9,31.561
82,06/04/19 09:00:00 AM,31.765,67.660,11.8,31.637
83,06/04/19 10:00:00 AM,32.201,66.751,11.8,31.816
84,06/04/19 11:00:00 AM,32.898,62.765,11.8,32.124
85,06/04/19 12:00:00 PM,33.079,66.530,11.8,32.330
86,06/04/19 01:00:00 PM,33.287,65.636,11.8,32.484
87,06/04/19 02:00:00 PM,33.287,64.484,11.8,32.562
88,06/04/19 03:00:00 PM,33.391,65.404,11.8,32.691
89,06/04/19 04:00:00 PM,33.001,67.351,11.8,32.613
90,06/04/19 05:00:00 PM,32.768,68.726,11.8,32.562
91,06/04/19 06:00:00 PM,32.458,74.890,43.4,32.433
92,06/04/19 07:00:00 PM,32.253,75.360,43.4,32.355
93,06/04/19 08:00:00 PM,32.098,73.499,35.5,32.304
94,06/04/19 09:00:00 PM,31.970,75.634,11.8,32.227
95,06/04/19 10:00:00 PM,32.098,76.405,3.9,32.227
96,06/04/19 11:00:00 PM,32.021,73.635,11.8,32.175
97,06/05/19 12:00:00 AM,31.970,71.480,11.8,32.124
98,06/05/19 01:00:00 AM,31.765,69.069,11.8,31.996
99,06/05/19 02:00:00 AM,31.561,68.666,11.8,31.893
100,06/05/19 03:00:00 AM,31.510,70.182,3.9,31.816
101,06/05/19 04:00:00 AM,31.331,71.060,11.8,31.689
102,06/05/19 05:00:00 AM,31.204,72.336,11.8,31.586
103,06/05/19 06:00:00 AM,31.179,72.633,11.8,31.510
104,06/05/19 07:00:00 AM,31.153,72.296,3.9,31.459
105,06/05/19 08:00:00 AM,31.281,71.747,3.9,31.433
106,06/05/19 09:00:00 AM,31.561,70.950,11.8,31.510
107,06/05/19 10:00:00 AM,31.944,66.275,11.8,31.663
108,06/05/19 11:00:00 AM,32.278,65.776,11.8,31.791
109,06/05/19 12:00:00 PM,32.484,69.503,11.8,31.970
110,06/05/19 01:00:00 PM,32.536,69.848,11.8,32.047
111,06/05/19 02:00:00 PM,32.587,69.338,11.8,32.124
112,06/05/19 03:00:00 PM,32.562,69.425,11.8,32.201
113,06/05/19 04:00:00 PM,32.278,70.747,11.8,32.124
114,06/05/19 05:00:00 PM,32.047,74.571,3.9,32.021
115,06/05/19 06:00:00 PM,31.740,77.227,11.8,31.919
116,06/05/19 07:00:00 PM,31.535,77.423,11.8,31.791
117,06/05/19 08:00:00 PM,31.612,79.212,11.8,31.816
118,06/05/19 09:00:00 PM,31.765,77.113,11.8,31.868
119,06/05/19 10:00:00 PM,31.535,73.783,43.4,31.791
120,06/05/19 11:00:00 PM,31.510,70.698,11.8,31.740
121,06/06/19 12:00:00 AM,31.484,68.163,3.9,31.663
122,06/06/19 01:00:00 AM,31.382,67.532,11.8,31.612
123,06/06/19 02:00:00 AM,31.255,68.215,3.9,31.510
124,06/06/19 03:00:00 AM,31.153,69.418,3.9,31.433
125,06/06/19 04:00:00 AM,31.052,69.977,11.8,31.331
126,06/06/19 05:00:00 AM,30.976,70.783,3.9,31.255
127,06/06/19 06:00:00 AM,30.849,71.606,3.9,31.153
128,06/06/19 07:00:00 AM,30.874,73.567,3.9,31.103
129,06/06/19 08:00:00 AM,31.001,71.514,11.8,31.103
130,06/06/19 09:00:00 AM,31.433,69.254,11.8,31.204
131,06/06/19 10:00:00 AM,31.868,67.463,11.8,31.408
132,06/06/19 11:00:00 AM,32.201,69.697,11.8,31.637
133,06/06/19 12:00:00 PM,32.330,68.649,11.8,31.765
134,06/06/19 01:00:00 PM,32.587,69.857,11.8,31.970
135,06/06/19 02:00:00 PM,32.639,72.997,11.8,32.047
136,06/06/19 03:00:00 PM,32.355,74.420,11.8,31.996
