"Plot Title: HUM - Bu3 - 2nd floor"
"#","Date Time, GMT+05:30","Temp, °C (LGR S/N: 10348734, SEN S/N: 10348734)","RH, % (LGR S/N: 10348734, SEN S/N: 10348734)","Temp, °C (LGR S/N: 10348734, SEN S/N: 10348734)","Temp, °C (LGR S/N: 10348734, SEN S/N: 10348734)"
1,06/01/19 12:00:00 AM,31.740,71.074,32.253,32.150
2,06/01/19 01:00:00 AM,31.535,70.429,32.073,32.021
3,06/01/19 02:00:00 AM,31.561,70.404,31.970,31.919
4,06/01/19 03:00:00 AM,31.408,71.104,31.842,31.791
5,06/01/19 04:00:00 AM,31.204,71.944,31.714,31.689
6,06/01/19 05:00:00 AM,31.357,71.609,31.663,31.637
7,06/01/19 06:00:00 AM,31.408,71.225,31.637,31.561
8,06/01/19 07:00:00 AM,31.204,69.609,31.561,31.484
9,06/01/19 08:00:00 AM,31.637,67.177,31.637,31.561
10,06/01/19 09:00:00 AM,31.970,66.403,31.791,31.663
11,06/01/19 10:00:00 AM,32.407,64.152,32.047,31.842
12,06/01/19 11:00:00 AM,33.001,61.620,32.407,32.098
13,06/01/19 12:00:00 PM,33.365,59.118,32.742,32.355
14,06/01/19 01:00:00 PM,33.757,55.569,33.079,32.613
15,06/01/19 02:00:00 PM,33.652,62.195,33.157,32.768
16,06/01/19 03:00:00 PM,33.600,61.211,33.235,32.898
17,06/01/19 04:00:00 PM,33.183,67.290,33.079,32.846
18,06/01/19 05:00:00 PM,32.846,69.322,32.898,32.768
19,06/01/19 06:00:00 PM,32.510,74.239,32.717,32.639
20,06/01/19 07:00:00 PM,32.510,73.577,32.665,32.587
21,06/01/19 08:00:00 PM,32.510,74.059,32.639,32.587
22,06/01/19 09:00:00 PM,32.639,73.933,32.717,32.639
23,06/01/19 10:00:00 PM,32.433,70.104,32.613,32.562
24,06/01/19 11:00:00 PM,32.278,70.625,32.510,32.484
25,06/02/19 12:00:00 AM,32.124,71.872,32.407,32.407
26,06/02/19 01:00:00 AM,31.970,72.600,32.304,32.330
27,06/02/19 02:00:00 AM,31.791,72.385,32.175,32.201
28,06/02/19 03:00:00 AM,31.791,71.841,32.098,32.124
29,06/02/19 04:00:00 AM,31.689,71.701,32.021,32.047
30,06/02/19 05:00:00 AM,31.561,71.738,31.944,31.944
31,06/02/19 06:00:00 AM,31.510,72.061,31.842,31.842
32,06/02/19 07:00:00 AM,31.408,72.856,31.740,31.740
33,06/02/19 08:00:00 AM,31.612,72.714,31.765,31.740
34,06/02/19 09:00:00 AM,31.996,70.513,31.893,31.816
35,06/02/19 10:00:00 AM,32.407,67.649,32.150,31.970
36,06/02/19 11:00:00 AM,32.924,63.520,32.484,32.175
37,06/02/19 12:00:00 PM,33.548,60.223,32.872,32.484
38,06/02/19 01:00:00 PM,34.202,55.921,33.339,32.820
39,06/02/19 02:00:00 PM,34.387,54.724,33.626,33.105
40,06/02/19 03:00:00 PM,34.836,57.168,33.992,33.417
41,06/02/19 04:00:00 PM,35.022,52.283,34.281,33.730
42,06/02/19 05:00:00 PM,34.281,61.507,34.045,33.678
43,06/02/19 06:00:00 PM,33.652,57.953,33.730,33.548
44,06/02/19 07:00:00 PM,33.261,58.880,33.469,33.365
45,06/02/19 08:00:00 PM,33.105,56.372,33.365,33.287
46,06/02/19 09:00:00 PM,32.846,58.913,33.235,33.183
47,06/02/19 10:00:00 PM,32.820,59.827,33.183,33.157
48,06/02/19 11:00:00 PM,32.613,58.497,33.079,33.053
49,06/03/19 12:00:00 AM,32.639,58.723,33.027,32.975
50,06/03/19 01:00:00 AM,32.587,58.874,32.975,32.924
51,06/03/19 02:00:00 AM,32.536,59.436,32.898,32.846
