"Plot Title: AV_NV_MV_VT_GF_B5"
"#","Date Time, GMT+05:30","Temp, °C (LGR S/N: 10348726, SEN S/N: 10348726)","RH, % (LGR S/N: 10348726, SEN S/N: 10348726)","Temp, °C (LGR S/N: 10348726, SEN S/N: 10348726)"
1,06/11/19 12:00:00 AM,34.334,51.247,163.676
2,06/11/19 01:00:00 AM,34.176,51.161,163.676
3,06/11/19 02:00:00 AM,33.992,50.974,163.676
4,06/11/19 03:00:00 AM,33.835,50.888,163.676
5,06/11/19 04:00:00 AM,33.678,50.965,163.676
6,06/11/19 05:00:00 AM,33.521,51.302,163.676
7,06/11/19 06:00:00 AM,33.391,51.708,163.676
8,06/11/19 07:00:00 AM,33.287,52.180,163.676
9,06/11/19 08:00:00 AM,33.183,52.717,163.676
10,06/11/19 09:00:00 AM,33.548,53.865,163.676
11,06/11/19 10:00:00 AM,33.339,53.804,163.676
12,06/11/19 11:00:00 AM,33.183,53.976,163.676
13,06/11/19 12:00:00 PM,32.613,53.091,163.676
14,06/11/19 01:00:00 PM,32.304,52.501,163.002
15,06/11/19 02:00:00 PM,32.175,51.934,163.002
16,06/11/19 03:00:00 PM,32.227,51.715,163.002
17,06/11/19 04:00:00 PM,32.975,52.300,163.676
18,06/11/19 05:00:00 PM,33.443,52.461,163.676
19,06/11/19 06:00:00 PM,34.995,53.612,165.057
20,06/11/19 07:00:00 PM,35.850,53.306,165.765
21,06/11/19 08:00:00 PM,35.770,51.795,165.057
22,06/11/19 09:00:00 PM,35.342,51.379,165.057
23,06/11/19 10:00:00 PM,35.049,51.112,165.057
24,06/11/19 11:00:00 PM,34.757,51.041,165.057
25,06/12/19 12:00:00 AM,34.572,50.952,164.361
26,06/12/19 01:00:00 AM,34.334,50.823,164.361
27,06/12/19 02:00:00 AM,33.992,50.811,164.361
28,06/12/19 03:00:00 AM,33.783,51.272,164.361
29,06/12/19 04:00:00 AM,33.704,51.847,164.361
30,06/12/19 05:00:00 AM,33.652,52.327,163.676
31,06/12/19 06:00:00 AM,33.548,52.734,163.676
32,06/12/19 07:00:00 AM,33.443,53.173,163.676
33,06/12/19 08:00:00 AM,33.417,53.718,163.676
34,06/12/19 09:00:00 AM,33.626,55.197,163.676
35,06/12/19 10:00:00 AM,35.342,55.859,165.057
36,06/12/19 11:00:00 AM,34.783,54.068,165.057
37,06/12/19 12:00:00 PM,34.202,53.600,164.361
38,06/12/19 01:00:00 PM,33.521,52.601,164.361
39,06/12/19 02:00:00 PM,33.183,51.777,163.676
40,06/12/19 03:00:00 PM,32.924,51.126,163.676
41,06/12/19 04:00:00 PM,32.665,50.475,163.676
42,06/12/19 05:00:00 PM,32.587,50.172,163.676
43,06/12/19 06:00:00 PM,34.492,51.691,164.361
44,06/12/19 07:00:00 PM,35.262,51.695,165.057
45,06/12/19 08:00:00 PM,35.422,51.880,165.057
46,06/12/19 09:00:00 PM,34.863,50.990,165.057
47,06/12/19 10:00:00 PM,32.381,51.022,163.676
48,06/12/19 11:00:00 PM,33.757,52.470,164.361
49,06/13/19 12:00:00 AM,34.045,52.931,164.361
50,06/13/19 01:00:00 AM,34.308,53.323,164.361
51,06/13/19 02:00:00 AM,34.440,53.503,164.361
52,06/13/19 03:00:00 AM,34.466,53.636,164.361
53,06/13/19 04:00:00 AM,34.440,53.762,164.361
54,06/13/19 05:00:00 AM,34.360,53.945,164.361
55,06/13/19 06:00:00 AM,34.229,54.089,164.361
56,06/13/19 07:00:00 AM,34.071,54.164,164.361
57,06/13/19 08:00:00 AM,33.992,54.249,164.361
58,06/13/19 09:00:00 AM,33.940,54.436,164.361
59,06/13/19 10:00:00 AM,34.942,55.351,165.057
60,06/13/19 11:00:00 AM,34.572,54.750,164.361
61,06/13/19 12:00:00 PM,34.572,54.653,164.361
62,06/13/19 01:00:00 PM,34.730,54.384,165.057
63,06/13/19 02:00:00 PM,34.757,53.870,165.057
64,06/13/19 03:00:00 PM,35.049,54.299,165.057
65,06/13/19 04:00:00 PM,35.102,54.921,165.057
66,06/13/19 05:00:00 PM,34.969,55.902,165.057
67,06/13/19 06:00:00 PM,34.572,56.873,164.361
68,06/13/19 07:00:00 PM,33.992,56.372,164.361
69,06/13/19 08:00:00 PM,33.339,56.150,164.361
70,06/13/19 09:00:00 PM,33.131,56.855,164.361
71,06/13/19 10:00:00 PM,32.898,57.268,163.676
72,06/13/19 11:00:00 PM,32.613,57.481,163.676
73,06/14/19 12:00:00 AM,32.510,57.942,163.676
74,06/14/19 01:00:00 AM,32.433,58.280,163.676
75,06/14/19 02:00:00 AM,32.381,58.843,163.676
76,06/14/19 03:00:00 AM,32.381,59.191,163.676
77,06/14/19 04:00:00 AM,32.330,59.531,163.676
78,06/14/19 05:00:00 AM,32.278,59.870,163.676
79,06/14/19 06:00:00 AM,32.227,60.240,163.676
80,06/14/19 07:00:00 AM,32.201,60.614,163.676
81,06/14/19 08:00:00 AM,32.253,60.968,163.676
82,06/14/19 09:00:00 AM,32.304,61.133,163.676
83,06/14/19 10:00:00 AM,32.665,61.033,163.676
84,06/14/19 11:00:00 AM,32.691,60.690,163.676
85,06/14/19 12:00:00 PM,32.639,59.673,163.676
86,06/14/19 01:00:00 PM,32.355,57.951,163.676
87,06/14/19 02:00:00 PM,32.253,56.727,163.676
88,06/14/19 03:00:00 PM,32.304,56.001,163.676
89,06/14/19 04:00:00 PM,32.278,55.230,163.676
90,06/14/19 05:00:00 PM,32.098,54.468,163.676
91,06/14/19 06:00:00 PM,32.665,54.900,163.676
92,06/14/19 07:00:00 PM,32.975,55.682,164.361
93,06/14/19 08:00:00 PM,33.131,56.696,164.361
94,06/14/19 09:00:00 PM,33.339,57.779,164.361
95,06/14/19 10:00:00 PM,33.417,58.713,164.361
96,06/14/19 11:00:00 PM,33.339,59.368,163.676
97,06/15/19 12:00:00 AM,33.313,59.364,164.361
98,06/15/19 01:00:00 AM,33.235,59.701,163.676
99,06/15/19 02:00:00 AM,33.157,59.910,163.676
100,06/15/19 03:00:00 AM,33.079,60.151,163.676
101,06/15/19 04:00:00 AM,33.001,60.329,163.676
102,06/15/19 05:00:00 AM,32.872,60.403,163.676
103,06/15/19 06:00:00 AM,32.717,60.379,163.676
104,06/15/19 07:00:00 AM,32.587,60.422,163.676
105,06/15/19 08:00:00 AM,32.587,60.454,163.676
106,06/15/19 09:00:00 AM,32.613,60.332,163.676
107,06/15/19 10:00:00 AM,33.443,60.144,164.361
108,06/15/19 11:00:00 AM,33.157,58.579,164.361
109,06/15/19 12:00:00 PM,32.613,56.716,163.676
110,06/15/19 01:00:00 PM,35.636,56.449,165.765
111,06/15/19 02:00:00 PM,34.863,54.241,165.765
112,06/15/19 03:00:00 PM,36.552,53.369,167.219
113,06/15/19 04:00:00 PM,34.730,50.220,165.765
114,06/15/19 05:00:00 PM,34.281,50.587,165.057
115,06/15/19 06:00:00 PM,34.387,51.905,165.057
116,06/15/19 07:00:00 PM,34.255,53.348,165.057
117,06/15/19 08:00:00 PM,34.124,54.752,165.057
118,06/15/19 09:00:00 PM,34.071,56.031,165.057
119,06/15/19 10:00:00 PM,34.071,57.217,164.361
120,06/15/19 11:00:00 PM,33.914,58.247,164.361
121,06/16/19 12:00:00 AM,33.835,58.904,164.361
122,06/16/19 01:00:00 AM,33.730,59.459,164.361
123,06/16/19 02:00:00 AM,33.548,59.907,164.361
124,06/16/19 03:00:00 AM,33.391,60.168,164.361
125,06/16/19 04:00:00 AM,33.287,60.310,164.361
126,06/16/19 05:00:00 AM,33.131,60.380,164.361
127,06/16/19 06:00:00 AM,33.027,60.427,164.361
128,06/16/19 07:00:00 AM,32.924,60.443,164.361
129,06/16/19 08:00:00 AM,32.898,60.376,164.361
130,06/16/19 09:00:00 AM,32.924,60.127,164.361
131,06/16/19 10:00:00 AM,32.924,59.811,163.676
132,06/16/19 11:00:00 AM,32.975,59.471,164.361
133,06/16/19 12:00:00 PM,33.105,58.984,164.361
134,06/16/19 01:00:00 PM,33.261,58.404,164.361
135,06/16/19 02:00:00 PM,33.443,57.795,164.361
136,06/16/19 03:00:00 PM,33.940,57.772,164.361
137,06/16/19 04:00:00 PM,34.150,57.867,165.057
138,06/16/19 05:00:00 PM,34.229,58.166,165.057
139,06/16/19 06:00:00 PM,34.124,58.820,165.057
140,06/16/19 07:00:00 PM,33.887,59.610,164.361
141,06/16/19 08:00:00 PM,33.626,60.330,164.361
