"Plot Title: LL_B2"
"#","Date Time, GMT+05:30","Temp, °C (LGR S/N: 10321103, SEN S/N: 10321103)","RH, % (LGR S/N: 10321103, SEN S/N: 10321103)","Temp, °C (LGR S/N: 10321103, SEN S/N: 10321103)","Temp, °C (LGR S/N: 10321103, SEN S/N: 10321103)"
1,06/01/19 12:00:00 AM,34.176,65.193,83.312,125.125
2,06/01/19 01:00:00 AM,33.992,64.507,82.839,125.634
3,06/01/19 02:00:00 AM,33.887,64.458,83.792,126.674
4,06/01/19 03:00:00 AM,33.652,65.417,81.759,126.411
5,06/01/19 04:00:00 AM,33.469,66.101,86.463,126.939
6,06/01/19 05:00:00 AM,33.313,66.570,86.724,126.151
7,06/01/19 06:00:00 AM,33.105,66.999,88.330,126.674
8,06/01/19 07:00:00 AM,32.975,66.482,84.770,126.674
9,06/01/19 08:00:00 AM,32.510,64.729,87.607,128.017
10,06/01/19 09:00:00 AM,32.691,64.137,89.348,128.291
11,06/01/19 10:00:00 AM,33.001,63.595,91.576,129.127
12,06/01/19 11:00:00 AM,33.287,61.854,88.513,129.694
13,06/01/19 12:00:00 PM,33.521,60.504,86.637,130.562
14,06/01/19 01:00:00 PM,33.992,56.693,92.181,132.668
15,06/01/19 02:00:00 PM,34.255,62.543,88.605,129.694
16,06/01/19 03:00:00 PM,34.308,61.637,91.179,130.271
17,06/01/19 04:00:00 PM,34.229,66.260,90.012,128.017
18,06/01/19 05:00:00 PM,34.624,65.767,90.204,128.568
19,06/01/19 06:00:00 PM,34.863,67.362,88.882,128.291
20,06/01/19 07:00:00 PM,35.182,66.827,88.605,128.568
21,06/01/19 08:00:00 PM,35.235,66.773,89.442,129.127
22,06/01/19 09:00:00 PM,35.315,66.943,87.697,128.568
23,06/01/19 10:00:00 PM,35.102,63.874,92.181,129.694
24,06/01/19 11:00:00 PM,34.677,65.120,93.212,129.694
25,06/02/19 12:00:00 AM,34.387,66.194,34.969,119.940
26,06/02/19 01:00:00 AM,34.124,66.708,34.624,119.503
27,06/02/19 02:00:00 AM,33.835,67.062,34.255,119.071
28,06/02/19 03:00:00 AM,33.548,67.136,33.940,118.857
29,06/02/19 04:00:00 AM,33.417,67.145,33.652,118.644
30,06/02/19 05:00:00 AM,33.235,67.577,33.417,118.433
31,06/02/19 06:00:00 AM,33.027,67.941,33.157,118.644
32,06/02/19 07:00:00 AM,32.691,70.487,32.872,117.393
33,06/02/19 08:00:00 AM,32.794,70.841,32.691,117.393
34,06/02/19 09:00:00 AM,32.898,68.565,32.639,117.805
35,06/02/19 10:00:00 AM,33.027,66.738,32.665,118.223
36,06/02/19 11:00:00 AM,33.209,64.315,32.794,118.857
37,06/02/19 12:00:00 PM,33.469,61.946,33.027,119.721
38,06/02/19 01:00:00 PM,34.045,57.820,33.417,120.830
39,06/02/19 02:00:00 PM,34.176,57.264,33.861,122.207
40,06/02/19 03:00:00 PM,34.492,58.525,34.360,122.677
41,06/02/19 04:00:00 PM,34.863,55.597,34.969,123.637
42,06/02/19 05:00:00 PM,35.208,60.257,35.716,123.637
43,06/02/19 06:00:00 PM,35.609,59.171,36.552,123.637
44,06/02/19 07:00:00 PM,35.797,55.633,37.015,125.891
45,06/02/19 08:00:00 PM,35.904,52.694,37.015,127.744
46,06/02/19 09:00:00 PM,35.716,53.743,36.769,128.291
47,06/02/19 10:00:00 PM,35.582,54.568,36.389,128.017
48,06/02/19 11:00:00 PM,34.969,55.902,35.770,127.744
49,06/03/19 12:00:00 AM,34.757,56.001,35.342,124.126
50,06/03/19 01:00:00 AM,34.440,55.730,34.969,126.151
51,06/03/19 02:00:00 AM,34.202,56.531,34.598,126.939
52,06/03/19 03:00:00 AM,33.940,57.517,34.229,126.411
53,06/03/19 04:00:00 AM,33.783,57.558,33.940,125.891
54,06/03/19 05:00:00 AM,33.626,57.566,33.652,127.206
55,06/03/19 06:00:00 AM,33.339,57.556,33.365,126.674
56,06/03/19 07:00:00 AM,33.287,60.815,33.157,124.872
57,06/03/19 08:00:00 AM,33.157,63.026,32.949,122.915
58,06/03/19 09:00:00 AM,32.924,59.938,32.820,124.126
59,06/03/19 10:00:00 AM,33.235,59.257,32.846,124.872
60,06/03/19 11:00:00 AM,33.417,58.364,33.001,124.373
61,06/03/19 12:00:00 PM,33.626,56.352,33.209,125.891
62,06/03/19 01:00:00 PM,33.809,59.788,33.521,124.622
63,06/03/19 02:00:00 PM,33.626,73.122,33.783,120.383
64,06/03/19 03:00:00 PM,33.835,67.248,34.124,121.283
65,06/03/19 04:00:00 PM,34.176,64.506,34.572,123.637
66,06/03/19 05:00:00 PM,34.440,64.643,35.102,124.126
67,06/03/19 06:00:00 PM,34.572,71.133,35.743,119.503
68,06/03/19 07:00:00 PM,34.757,71.626,36.227,119.503
69,06/03/19 08:00:00 PM,34.836,69.923,36.308,121.283
70,06/03/19 09:00:00 PM,34.863,67.145,36.146,121.742
71,06/03/19 10:00:00 PM,34.969,67.660,35.904,123.637
72,06/03/19 11:00:00 PM,34.466,69.733,35.395,118.857
73,06/04/19 12:00:00 AM,34.360,68.390,35.022,121.512
74,06/04/19 01:00:00 AM,34.124,67.792,34.677,121.974
75,06/04/19 02:00:00 AM,33.966,67.456,34.387,120.383
76,06/04/19 03:00:00 AM,33.678,67.931,34.097,118.433
77,06/04/19 04:00:00 AM,33.521,68.551,33.809,119.721
78,06/04/19 05:00:00 AM,33.313,69.651,33.521,120.383
79,06/04/19 06:00:00 AM,33.131,69.281,33.287,119.940
80,06/04/19 07:00:00 AM,33.053,69.175,33.079,120.606
81,06/04/19 08:00:00 AM,33.053,67.453,32.898,120.161
82,06/04/19 09:00:00 AM,32.924,63.707,32.768,123.395
83,06/04/19 10:00:00 AM,33.157,63.276,32.820,123.395
84,06/04/19 11:00:00 AM,33.417,61.087,33.001,124.373
85,06/04/19 12:00:00 PM,33.548,64.402,33.235,123.881
86,06/04/19 01:00:00 PM,33.704,64.584,33.548,122.915
87,06/04/19 02:00:00 PM,34.150,61.676,33.966,124.622
88,06/04/19 03:00:00 PM,34.255,63.360,34.387,122.207
89,06/04/19 04:00:00 PM,34.440,63.610,34.810,120.606
90,06/04/19 05:00:00 PM,34.810,63.795,35.395,123.395
91,06/04/19 06:00:00 PM,34.810,68.993,35.823,122.441
92,06/04/19 07:00:00 PM,34.492,68.197,36.039,121.283
93,06/04/19 08:00:00 PM,34.916,65.441,36.092,123.154
94,06/04/19 09:00:00 PM,35.155,69.332,36.065,122.207
95,06/04/19 10:00:00 PM,35.128,68.586,35.850,122.915
96,06/04/19 11:00:00 PM,34.889,65.155,35.582,123.395
97,06/05/19 12:00:00 AM,34.598,63.510,35.235,123.881
98,06/05/19 01:00:00 AM,34.281,61.349,34.889,125.634
99,06/05/19 02:00:00 AM,33.992,61.146,34.492,124.622
100,06/05/19 03:00:00 AM,33.887,63.081,34.176,116.582
101,06/05/19 04:00:00 AM,33.678,64.018,33.861,116.985
102,06/05/19 05:00:00 AM,33.469,65.137,33.548,117.805
103,06/05/19 06:00:00 AM,33.313,65.981,33.287,122.441
104,06/05/19 07:00:00 AM,33.079,66.252,32.975,119.940
105,06/05/19 08:00:00 AM,32.975,69.131,32.768,115.985
106,06/05/19 09:00:00 AM,32.794,66.482,32.639,119.721
107,06/05/19 10:00:00 AM,33.053,63.103,32.665,119.721
108,06/05/19 11:00:00 AM,33.209,62.282,32.794,116.985
109,06/05/19 12:00:00 PM,33.339,65.800,33.001,116.582
