"Plot Title: LL_B1"
"#","Date Time, GMT+05:30","Temp, °C (LGR S/N: 10321102, SEN S/N: 10321102)","RH, % (LGR S/N: 10321102, SEN S/N: 10321102)","Temp, °C (LGR S/N: 10321102, SEN S/N: 10321102)","Temp, °C (LGR S/N: 10321102, SEN S/N: 10321102)"
1,06/01/19 12:00:00 AM,32.098,69.709,34.124,34.124
2,06/01/19 01:00:00 AM,31.510,70.516,33.574,33.574
3,06/01/19 02:00:00 AM,31.357,70.610,33.105,33.131
4,06/01/19 03:00:00 AM,30.976,72.384,32.691,32.717
5,06/01/19 04:00:00 AM,30.722,73.628,32.355,32.355
6,06/01/19 05:00:00 AM,30.621,73.669,32.047,32.021
7,06/01/19 06:00:00 AM,30.444,73.875,31.791,31.791
8,06/01/19 07:00:00 AM,30.571,70.951,32.124,32.098
9,06/01/19 08:00:00 AM,30.950,67.855,32.484,32.458
10,06/01/19 09:00:00 AM,31.970,64.919,33.235,33.209
11,06/01/19 10:00:00 AM,33.287,60.088,34.202,34.202
12,06/01/19 11:00:00 AM,35.022,53.680,35.823,35.797
13,06/01/19 12:00:00 PM,36.092,50.199,37.015,36.960
14,06/01/19 01:00:00 PM,37.453,44.453,38.840,38.812
15,06/01/19 02:00:00 PM,37.178,52.670,39.630,39.573
16,06/01/19 03:00:00 PM,37.728,49.748,42.327,42.119
17,06/01/19 04:00:00 PM,37.151,56.246,43.738,43.404
18,06/01/19 05:00:00 PM,36.389,58.968,41.825,41.531
19,06/01/19 06:00:00 PM,35.288,64.940,39.205,38.980
20,06/01/19 07:00:00 PM,34.387,66.784,37.178,37.015
21,06/01/19 08:00:00 PM,34.176,68.018,36.254,36.146
22,06/01/19 09:00:00 PM,33.783,69.673,35.636,35.529
23,06/01/19 10:00:00 PM,33.105,67.215,34.995,34.916
24,06/01/19 11:00:00 PM,32.433,70.013,34.413,34.334
25,06/02/19 12:00:00 AM,31.868,73.124,33.887,33.835
26,06/02/19 01:00:00 AM,31.586,73.883,33.417,33.365
27,06/02/19 02:00:00 AM,31.128,74.604,32.949,32.949
28,06/02/19 03:00:00 AM,30.874,74.615,32.587,32.562
29,06/02/19 04:00:00 AM,30.646,75.167,32.278,32.278
30,06/02/19 05:00:00 AM,30.293,76.317,31.919,31.893
31,06/02/19 06:00:00 AM,30.091,76.898,31.612,31.586
32,06/02/19 07:00:00 AM,30.091,77.371,31.689,31.663
33,06/02/19 08:00:00 AM,30.621,75.698,32.073,32.047
34,06/02/19 09:00:00 AM,31.637,70.448,32.924,32.872
35,06/02/19 10:00:00 AM,32.768,65.517,33.992,33.914
36,06/02/19 11:00:00 AM,34.334,57.671,35.075,35.049
37,06/02/19 12:00:00 PM,36.227,51.496,36.715,36.742
38,06/02/19 01:00:00 PM,38.060,44.691,38.756,38.812
39,06/02/19 02:00:00 PM,38.896,43.134,42.445,42.327
40,06/02/19 03:00:00 PM,40.057,44.852,46.417,46.067
41,06/02/19 04:00:00 PM,40.400,39.619,48.139,47.711
42,06/02/19 05:00:00 PM,39.149,49.231,47.092,46.577
43,06/02/19 06:00:00 PM,36.498,46.978,41.268,40.978
44,06/02/19 07:00:00 PM,34.124,55.974,38.115,37.976
45,06/02/19 08:00:00 PM,33.339,54.481,36.661,36.579
46,06/02/19 09:00:00 PM,32.330,60.162,35.555,35.475
47,06/02/19 10:00:00 PM,32.665,59.677,35.182,35.075
48,06/02/19 11:00:00 PM,32.150,58.934,34.624,34.519
49,06/03/19 12:00:00 AM,31.306,61.916,33.914,33.835
50,06/03/19 01:00:00 AM,30.976,63.016,33.443,33.391
51,06/03/19 02:00:00 AM,30.394,65.273,33.027,32.975
52,06/03/19 03:00:00 AM,30.520,65.016,32.665,32.613
53,06/03/19 04:00:00 AM,30.217,65.643,32.330,32.278
54,06/03/19 05:00:00 AM,30.066,65.802,32.047,31.996
55,06/03/19 06:00:00 AM,29.840,66.224,31.765,31.740
56,06/03/19 07:00:00 AM,30.217,66.809,31.996,31.970
57,06/03/19 08:00:00 AM,30.798,65.495,32.536,32.536
58,06/03/19 09:00:00 AM,31.791,60.330,33.235,33.183
59,06/03/19 10:00:00 AM,33.027,57.319,34.124,34.124
60,06/03/19 11:00:00 AM,34.492,52.277,35.342,35.315
61,06/03/19 12:00:00 PM,35.823,47.990,36.579,36.579
62,06/03/19 01:00:00 PM,36.878,50.662,38.115,38.087
63,06/03/19 02:00:00 PM,37.069,51.180,40.487,40.429
64,06/03/19 03:00:00 PM,37.288,52.717,42.923,42.714
65,06/03/19 04:00:00 PM,37.700,49.679,44.781,44.534
66,06/03/19 05:00:00 PM,37.343,53.770,45.405,44.968
67,06/03/19 06:00:00 PM,35.502,66.445,40.978,40.573
68,06/03/19 07:00:00 PM,34.308,71.513,37.976,37.755
69,06/03/19 08:00:00 PM,33.626,70.809,36.552,36.362
70,06/03/19 09:00:00 PM,33.287,69.401,35.636,35.502
71,06/03/19 10:00:00 PM,32.949,72.237,35.208,35.102
72,06/03/19 11:00:00 PM,32.613,73.536,34.624,34.545
73,06/04/19 12:00:00 AM,32.510,71.913,34.229,34.150
74,06/04/19 01:00:00 AM,32.150,72.240,33.783,33.704
75,06/04/19 02:00:00 AM,31.816,72.481,33.313,33.261
76,06/04/19 03:00:00 AM,31.230,73.995,32.820,32.768
77,06/04/19 04:00:00 AM,30.950,75.226,32.433,32.381
78,06/04/19 05:00:00 AM,30.672,77.014,32.073,32.021
79,06/04/19 06:00:00 AM,30.469,76.173,31.765,31.689
80,06/04/19 07:00:00 AM,30.495,74.691,31.970,31.919
81,06/04/19 08:00:00 AM,30.900,70.799,32.381,32.330
82,06/04/19 09:00:00 AM,32.047,62.815,33.183,33.131
83,06/04/19 10:00:00 AM,33.783,57.206,34.413,34.360
84,06/04/19 11:00:00 AM,35.395,52.886,35.743,35.689
85,06/04/19 12:00:00 PM,36.579,54.642,37.042,37.042
86,06/04/19 01:00:00 PM,37.590,51.149,38.143,38.143
87,06/04/19 02:00:00 PM,38.115,50.161,42.179,42.001
88,06/04/19 03:00:00 PM,38.476,49.545,45.030,44.750
89,06/04/19 04:00:00 PM,37.949,51.689,46.258,45.814
90,06/04/19 05:00:00 PM,37.315,53.995,45.436,44.968
91,06/04/19 06:00:00 PM,35.985,62.693,41.327,40.949
92,06/04/19 07:00:00 PM,34.916,64.972,38.560,38.337
93,06/04/19 08:00:00 PM,34.229,64.671,37.151,36.987
94,06/04/19 09:00:00 PM,33.652,68.759,36.173,36.092
95,06/04/19 10:00:00 PM,33.079,71.197,35.529,35.502
96,06/04/19 11:00:00 PM,32.536,68.961,34.916,34.889
97,06/05/19 12:00:00 AM,31.204,70.673,34.229,34.229
98,06/05/19 01:00:00 AM,29.565,73.766,33.287,33.287
99,06/05/19 02:00:00 AM,28.841,75.113,32.510,32.536
100,06/05/19 03:00:00 AM,28.816,77.526,32.175,32.201
101,06/05/19 04:00:00 AM,29.265,76.615,31.996,31.970
102,06/05/19 05:00:00 AM,28.692,80.216,31.561,31.535
103,06/05/19 06:00:00 AM,28.617,80.172,31.281,31.281
104,06/05/19 07:00:00 AM,29.240,76.345,31.612,31.612
105,06/05/19 08:00:00 AM,30.142,73.278,32.201,32.175
106,06/05/19 09:00:00 AM,31.919,65.869,33.079,33.053
107,06/05/19 10:00:00 AM,32.717,60.757,34.019,33.966
108,06/05/19 11:00:00 AM,34.071,56.127,35.368,35.368
109,06/05/19 12:00:00 PM,35.315,59.190,36.661,36.606
110,06/05/19 01:00:00 PM,36.012,58.047,37.783,37.755
111,06/05/19 02:00:00 PM,36.661,54.848,40.862,40.688
112,06/05/19 03:00:00 PM,36.933,54.691,43.616,43.344
113,06/05/19 04:00:00 PM,36.824,55.746,45.687,45.154
114,06/05/19 05:00:00 PM,36.012,61.080,45.750,45.186
115,06/05/19 06:00:00 PM,34.387,67.312,42.031,41.443
116,06/05/19 07:00:00 PM,33.704,68.799,38.282,37.949
