Plot Title: hum bld 5 in,,,,,,,
#,"Date Time, GMT+05:30","Temp, °C (LGR S/N: 10357510, SEN S/N: 10357510)","RH, % (LGR S/N: 10357510, SEN S/N: 10357510)","Intensity, Lux (LGR S/N: 10357510, SEN S/N: 10357510)","Temp, °C (LGR S/N: 10357510, SEN S/N: 10357510)",,
1,06-01-2019 00:00,34.624,61.94,3.9,35.022,,33.124
2,06-01-2019 01:00,34.36,61.709,11.8,34.889,,32.86
3,06-01-2019 02:00,34.387,61.081,11.8,34.73,,32.887
4,06-01-2019 03:00,34.308,61.669,3.9,34.572,,32.808
5,06-01-2019 04:00,34.097,62.297,3.9,34.387,,32.597
6,06-01-2019 05:00,33.94,62.807,3.9,34.202,,32.44
7,06-01-2019 06:00,33.809,63.1,3.9,34.045,,32.309
8,06-01-2019 07:00,33.469,62.7,11.8,33.861,,31.969
9,06-01-2019 08:00,33.339,61.674,27.6,33.704,,31.839
10,06-01-2019 09:00,33.235,61.657,35.5,33.574,,31.735
11,06-01-2019 10:00,33.548,60.413,43.4,33.548,,32.048
12,06-01-2019 11:00,34.229,57.751,51.2,33.678,,32.729
13,06-01-2019 12:00,34.624,55.596,43.4,33.835,,33.124
14,06-01-2019 13:00,35.049,52.124,43.4,34.045,,33.549
15,06-01-2019 14:00,34.572,59.619,11.8,34.097,,33.072
16,06-01-2019 15:00,34.704,58.077,27.6,34.281,,33.204
17,06-01-2019 16:00,34.677,62.894,19.7,34.492,,33.177
18,06-01-2019 17:00,34.969,62.783,11.8,34.704,,33.469
19,06-01-2019 18:00,34.995,65.204,11.8,34.916,,33.495
20,06-01-2019 19:00,35.395,64.268,11.8,35.102,,33.895
21,06-01-2019 20:00,35.555,63.98,11.8,35.262,,34.055
22,06-01-2019 21:00,35.662,63.997,3.9,35.342,,34.162
23,06-01-2019 22:00,35.208,61.653,3.9,35.315,,33.708
24,06-01-2019 23:00,34.916,62.049,3.9,35.235,,33.416
25,06-02-2019 00:00,34.863,62.892,3.9,35.128,,33.363
26,06-02-2019 01:00,34.624,63.577,3.9,34.969,,33.124
27,06-02-2019 02:00,34.387,63.726,3.9,34.81,,32.887
28,06-02-2019 03:00,34.176,63.661,11.8,34.624,,32.676
29,06-02-2019 04:00,34.019,63.761,3.9,34.466,,32.519
30,06-02-2019 05:00,33.914,63.775,3.9,34.281,,32.414
31,06-02-2019 06:00,33.704,64.241,11.8,34.071,,32.204
32,06-02-2019 07:00,33.365,65.742,11.8,33.887,,31.865
33,06-02-2019 08:00,33.313,66.26,27.6,33.73,,31.813
34,06-02-2019 09:00,33.183,65.773,35.5,33.626,,31.683
35,06-02-2019 10:00,33.495,63.707,27.6,33.574,,31.995
36,06-02-2019 11:00,33.966,59.876,27.6,33.652,,32.466
37,06-02-2019 12:00,34.598,56.877,43.4,33.861,,33.098
38,06-02-2019 13:00,35.315,52.583,43.4,34.15,,33.815
39,06-02-2019 14:00,35.797,51.504,43.4,34.387,,34.297
40,06-02-2019 15:00,36.281,53.723,19.7,34.651,,34.781
41,06-02-2019 16:00,36.633,48.354,51.2,34.995,,35.133
42,06-02-2019 17:00,35.368,59.581,19.7,35.128,,33.868
43,06-02-2019 18:00,35.102,58.68,11.8,35.342,,33.602
44,06-02-2019 19:00,34.916,54.766,11.8,35.555,,33.416
45,06-02-2019 20:00,35.022,52.706,3.9,35.743,,33.522
46,06-02-2019 21:00,34.942,53.604,11.8,35.823,,33.442
47,06-02-2019 22:00,35.049,54.493,11.8,35.85,,33.549
48,06-02-2019 23:00,34.836,53.752,3.9,35.797,,33.336
49,06-03-2019 00:00,34.783,53.356,11.8,35.689,,33.283
50,06-03-2019 01:00,34.704,53.766,11.8,35.555,,33.204
51,06-03-2019 02:00,34.572,54.362,3.9,35.368,,33.072
52,06-03-2019 03:00,34.413,54.824,11.8,35.182,,32.913
53,06-03-2019 04:00,34.281,54.999,11.8,34.995,,32.781
54,06-03-2019 05:00,34.071,54.938,11.8,34.783,,32.571
55,06-03-2019 06:00,33.966,55.116,3.9,34.572,,32.466
56,06-03-2019 07:00,33.73,56.303,11.8,34.387,,32.23
57,06-03-2019 08:00,33.652,57.379,74.9,34.229,,32.152
58,06-03-2019 09:00,33.678,56.359,74.9,34.097,,32.178
59,06-03-2019 10:00,33.966,56.208,90.7,34.019,,32.466
60,06-03-2019 11:00,34.863,52.977,106.4,34.097,,33.363
61,06-03-2019 12:00,35.155,51.126,114.3,34.255,,33.655
62,06-03-2019 13:00,34.942,56.51,98.5,34.308,,33.442
63,06-03-2019 14:00,34.334,58.915,90.7,34.334,,32.834
64,06-03-2019 15:00,34.176,61.459,82.8,34.519,,32.676
65,06-03-2019 16:00,34.492,59.194,74.9,34.757,,32.992
66,06-03-2019 17:00,34.466,61.473,27.6,35.022,,32.966
67,06-03-2019 18:00,34.176,70.663,11.8,35.182,,32.676
68,06-03-2019 19:00,34.071,71.439,11.8,35.368,,32.571
69,06-03-2019 20:00,33.887,70.336,3.9,35.448,,32.387
70,06-03-2019 21:00,34.15,66.806,11.8,35.529,,32.65
71,06-03-2019 22:00,34.545,66.656,3.9,35.582,,33.045
72,06-03-2019 23:00,34.387,67.095,3.9,35.529,,32.887
