"Plot Title: AV_NV_MUK_DM2_FF_86cm_A3"
"#","Date Time, GMT+05:30","Temp, °C (LGR S/N: 10357505, SEN S/N: 10357505)","RH, % (LGR S/N: 10357505, SEN S/N: 10357505)","Intensity, Lux (LGR S/N: 10357505, SEN S/N: 10357505)","Temp, °C (LGR S/N: 10357505, SEN S/N: 10357505)"
1,06/01/19 12:00:00 AM,33.678,65.484,11.8,32.021
2,06/01/19 01:00:00 AM,33.521,64.804,11.8,31.484
3,06/01/19 02:00:00 AM,33.209,65.312,11.8,31.001
4,06/01/19 03:00:00 AM,32.975,66.296,11.8,30.596
5,06/01/19 04:00:00 AM,32.794,67.130,11.8,30.192
6,06/01/19 05:00:00 AM,32.536,67.856,11.8,29.840
7,06/01/19 06:00:00 AM,32.484,68.031,35.5,29.665
8,06/01/19 07:00:00 AM,32.484,66.398,177.4,30.596
9,06/01/19 08:00:00 AM,33.027,63.505,374.5,32.691
10,06/01/19 09:00:00 AM,33.495,62.107,540.0,36.012
11,06/01/19 10:00:00 AM,34.308,59.420,737.1,39.743
12,06/01/19 11:00:00 AM,35.448,55.874,926.3,44.104
13,06/01/19 12:00:00 PM,36.065,53.303,894.8,46.290
14,06/01/19 01:00:00 PM,36.742,48.897,784.4,48.404
15,06/01/19 02:00:00 PM,36.254,55.924,342.9,46.641
16,06/01/19 03:00:00 PM,36.417,54.684,508.5,46.577
17,06/01/19 04:00:00 PM,36.200,59.036,327.2,45.030
18,06/01/19 05:00:00 PM,35.931,60.591,193.2,42.267
19,06/01/19 06:00:00 PM,35.235,64.743,43.4,39.234
20,06/01/19 07:00:00 PM,34.995,65.642,11.8,36.878
21,06/01/19 08:00:00 PM,34.969,66.323,11.8,35.395
22,06/01/19 09:00:00 PM,34.677,67.486,11.8,34.308
23,06/01/19 10:00:00 PM,34.519,64.030,11.8,33.469
24,06/01/19 11:00:00 PM,34.176,64.818,11.8,32.768
25,06/02/19 12:00:00 AM,33.966,66.309,11.8,32.175
26,06/02/19 01:00:00 AM,33.600,67.455,11.8,31.689
27,06/02/19 02:00:00 AM,33.417,67.361,11.8,31.281
28,06/02/19 03:00:00 AM,33.131,67.497,11.8,30.925
29,06/02/19 04:00:00 AM,32.846,67.941,11.8,30.545
30,06/02/19 05:00:00 AM,32.691,68.467,11.8,30.167
31,06/02/19 06:00:00 AM,32.381,69.270,19.7,29.815
32,06/02/19 07:00:00 AM,32.381,69.607,161.6,30.318
33,06/02/19 08:00:00 AM,32.742,69.028,366.6,32.047
34,06/02/19 09:00:00 AM,33.339,66.389,524.3,35.128
35,06/02/19 10:00:00 AM,34.045,63.169,524.3,38.644
36,06/02/19 11:00:00 AM,34.836,58.799,492.7,41.619
37,06/02/19 12:00:00 PM,35.931,54.908,918.5,45.877
38,06/02/19 01:00:00 PM,36.905,50.369,942.1,49.174
39,06/02/19 02:00:00 PM,37.453,48.853,784.4,50.370
40,06/02/19 03:00:00 PM,37.728,50.640,618.9,50.335
41,06/02/19 04:00:00 PM,37.921,46.883,366.6,48.938
42,06/02/19 05:00:00 PM,37.151,54.233,161.6,45.342
43,06/02/19 06:00:00 PM,36.227,53.162,11.8,41.414
44,06/02/19 07:00:00 PM,35.609,53.468,11.8,38.393
45,06/02/19 08:00:00 PM,35.315,51.702,11.8,36.362
46,06/02/19 09:00:00 PM,34.836,54.334,11.8,34.757
47,06/02/19 10:00:00 PM,34.624,55.692,11.8,33.495
48,06/02/19 11:00:00 PM,34.281,54.967,11.8,32.510
49,06/03/19 12:00:00 AM,34.071,55.420,11.8,31.765
50,06/03/19 01:00:00 AM,33.730,56.495,11.8,31.382
51,06/03/19 02:00:00 AM,33.443,57.540,11.8,30.976
52,06/03/19 03:00:00 AM,33.417,57.886,11.8,30.697
53,06/03/19 04:00:00 AM,33.209,58.301,11.8,30.520
54,06/03/19 05:00:00 AM,32.975,58.171,11.8,30.318
55,06/03/19 06:00:00 AM,32.717,58.767,19.7,30.243
56,06/03/19 07:00:00 AM,33.001,59.222,130.1,30.849
57,06/03/19 08:00:00 AM,33.417,58.936,374.5,33.235
58,06/03/19 09:00:00 AM,33.940,56.621,453.3,36.092
59,06/03/19 10:00:00 AM,34.572,55.266,595.2,39.375
60,06/03/19 11:00:00 AM,35.555,52.452,879.0,44.012
61,06/03/19 12:00:00 PM,36.308,49.206,918.5,47.450
62,06/03/19 01:00:00 PM,36.308,53.108,784.4,48.838
63,06/03/19 02:00:00 PM,36.254,54.142,697.7,47.678
64,06/03/19 03:00:00 PM,36.389,55.782,587.3,47.352
65,06/03/19 04:00:00 PM,36.525,54.504,524.3,45.972
66,06/03/19 05:00:00 PM,36.227,57.082,240.5,43.616
67,06/03/19 06:00:00 PM,35.529,66.200,51.2,39.886
68,06/03/19 07:00:00 PM,35.075,68.298,11.8,37.069
69,06/03/19 08:00:00 PM,34.783,67.690,11.8,35.208
70,06/03/19 09:00:00 PM,34.624,65.860,11.8,34.019
71,06/03/19 10:00:00 PM,34.281,68.067,11.8,33.417
72,06/03/19 11:00:00 PM,34.255,68.279,11.8,32.742
73,06/04/19 12:00:00 AM,34.150,67.488,11.8,32.253
