Date and Time,TA in(max),TA in(maxtime),TA in(min),TA in(mintime),TA in(mean),TA out(max),TA out(maxtime),TA out(min),TA out(mintime),TA out(mean),RH in(max),RH in(maxtime),RH in(min),RH in(mintime),RH in(mean),RH out(max),RH out(maxtime),RH out(min),RH out(mintime),RH out(mean),TWl-1 in(max),TWl-1 in(maxtime),TWl-1 in(min),TWl-1 in(mintime),TWl-1 in(mean),TWl-1 out(max),TWl-1 out(maxtime),TWl-1 out(min),TWl-1 out(mintime),TWl-1 out(mean),TWl-2 in(max),TWl-2 in(maxtime),TWl-2 in(min),TWl-2 in(mintime),TWl-2 in(mean),TWl-2 out(max),TWl-2 out(maxtime),TWl-2 out(min),TWl-2 out(mintime),TWl-2 out(mean),TRf in(max),TRf in(maxtime),TRf in(min),TRf in(mintime),TRf in(mean),TRf out(max),TRf out(maxtime),TRf out(min),TRf out(mintime),TRf out(mean),TG in(max),TG in(maxtime),TG in(min),TG in(mintime),TG in(mean),TG out(max),TG out(maxtime),TG out(min),TG out(mintime),TG out(mean),TW in(max),TW in(maxtime),TW in(min),TW in(mintime),TW in(mean),TW out(max),TW out(maxtime),TW out(min),TW out(mintime),TW out(mean),V in(max),V in(maxtime),V in(min),V in(mintime),V in(mean),iDampA(max),iDampA(maxtime),iDampA(min),iDampA(mintime),iDampA(mean),iDampW(max),iDampW(maxtime),iDampW(min),iDampW(mintime),iDampW(mean),Clo (max),Clo (maxtime),Clo (min),Clo (mintime),Clo (mean),Wl-1Facing(max),Wl-1Facing(maxtime),Wl-1Facing(min),Wl-1Facing(mintime),Wl-1Facing(mean),Wl-2Facing(max),Wl-2Facing(maxtime),Wl-2Facing(min),Wl-2Facing(mintime),Wl-2Facing(mean)
01/06/2019,33.235,14,31.103,07,32.02170833333333,37.728,15,30.444000000000003,06,33.52879166666667,77.501,21,59.602,13,70.91066666666667,73.875,06,44.453,13,64.20045833333334,32.639,15,31.484,07,32.058458333333334,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,4.5969999999999995,15,-0.735,06,1.5070833333333333,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan
02/06/2019,34.334,16,31.076999999999998,07,32.33541666666667,40.4,16,30.090999999999998,06,33.743,75.465,08,56.165,16,67.69166666666666,77.37100000000001,07,39.619,16,61.689249999999994,33.313,16,31.535,07,32.276625,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,6.066,16,-1.037,06,1.4075833333333332,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan
03/06/2019,33.157,13,31.433000000000003,05,32.077625,37.7,16,29.84,06,33.25125,80.377,19,59.063,12,67.68608333333333,73.536,23,47.99,12,61.87745833333333,32.562,16,31.612,07,32.075291666666665,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,4.673,16,-1.619,06,1.1736250000000001,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan
04/06/2019,33.391,15,31.305999999999997,07,32.185249999999996,38.476,15,30.469,06,33.868249999999996,76.494,00,62.765,11,71.62695833333333,77.014,05,49.545,15,64.57804166666666,32.691,15,31.561,07,32.101166666666664,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,5.085,15,-0.862,06,1.683,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan
05/06/2019,32.586999999999996,14,31.153000000000002,07,31.78866666666666,36.933,15,28.616999999999997,06,32.48354166666667,79.212,20,65.77600000000001,11,71.72325000000001,80.21600000000001,05,54.691,15,67.63820833333334,32.201,15,31.433000000000003,08,31.82841666666667,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,4.546,16,-2.72,02,0.694875,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan
06/06/2019,32.639,14,30.849,06,31.578208333333333,36.688,14,29.89,05,33.02791666666667,79.331,23,67.46300000000001,10,72.63995833333333,74.38,23,56.86,13,66.02658333333333,32.047,14,31.103,07,31.575083333333335,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,4.333,15,-1.0859999999999999,05,1.4497083333333334,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan
07/06/2019,32.613,13,30.874000000000002,07,31.629333333333335,36.851,15,30.166999999999998,06,32.892041666666664,80.753,17,71.735,11,77.02191666666667,81.56,07,59.001000000000005,14,70.98979166666668,32.098,15,31.128,07,31.60270833333333,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,4.412,16,-0.758,06,1.2627083333333333,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan
08/06/2019,33.861,14,30.925,07,31.981416666666664,38.812,14,29.815,07,33.28308333333333,77.87,20,54.891999999999996,13,70.94891666666666,79.684,06,41.848,13,65.214375,32.586999999999996,15,31.179000000000002,07,31.802624999999995,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,4.9510000000000005,14,-1.11,07,1.3016666666666665,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan
09/06/2019,35.128,15,31.000999999999998,06,32.61516666666667,40.114000000000004,15,29.74,06,34.20195833333333,74.538,01,51.247,16,65.42425,74.294,01,37.851,16,59.408416666666675,33.443000000000005,17,31.255,07,32.266416666666665,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,5.05,16,-1.261,06,1.5867916666666666,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan
10/06/2019,34.387,16,31.484,07,32.875875,39.065,16,30.293000000000003,06,34.126375,65.089,00,49.511,17,58.29533333333333,65.008,07,37.489000000000004,17,52.59845833333333,33.365,17,31.816,07,32.61575,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,4.678,16,-1.242,06,1.2505,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan
