Date,Time,inttime,Comfort m/s,Acceptibly warm m/s,Mixed m/s,Temp,Rh,tw,TSI,PMV,PPD,Standrd Eff Temp,TA adj,Cool effect
01/06/2019,00:00,0,2.26,0.29,2.26,31.74,71.074,27.281710224992025,28.55616680798803,1.0237090748060644,27.128527092906836,27.630781195505005,29.01496645421548,2.7250335457845187
01/06/2019,01:00,1,2.26,0.29,2.26,31.535,70.429,26.98566669680673,28.31226040130696,0.9785508202155584,25.225290498394628,27.503395460311495,28.833220482935705,2.701779517064296
01/06/2019,02:00,2,2.26,0.29,2.26,31.561,70.404,27.00514382711208,28.337629357441006,0.9842691288295852,25.462001370221117,27.519558885980604,28.856275275447928,2.7047247245520722
01/06/2019,03:00,3,1.04,0.0,1.04,31.408,71.104,26.983109245862124,28.96369188012273,0.950671590099846,24.089402823267775,27.424442657939505,28.720619092299152,2.68738090770085
01/06/2019,04:00,4,1.04,0.0,1.04,31.204,71.944,26.936110985660093,28.7972364159805,0.9058952236683427,22.329386862573003,27.29688947553349,28.539724364740255,2.664275635259744
01/06/2019,05:00,5,1.04,0.0,1.04,31.357,71.609,27.02066182535208,28.93726307460563,0.9394981777048955,23.642724860890382,27.39272633426082,28.675405549311296,2.6815944506887037
01/06/2019,06:00,6,1.04,0.0,1.04,31.408,71.225,27.00320866268612,28.969882500504518,0.9506816195317567,24.089805983692088,27.424483520407122,28.720623695038803,2.6873763049612
01/06/2019,07:00,7,1.04,0.0,1.04,31.204,69.609,26.546787036361252,28.677324639596456,0.905704697544756,22.322069898865408,27.296122491284706,28.539640419067727,2.664359580932275
01/06/2019,08:00,8,2.26,0.29,2.26,31.636999999999997,67.17699999999999,26.52438474299322,28.246175559532393,1.000715915013581,26.149804039022513,27.565633951089545,28.92351560590977,2.713484394090226
01/06/2019,09:00,9,2.26,0.29,2.26,31.97,66.403,26.68969115305555,28.545174933831593,1.073942477854315,29.3343884800655,27.770798881030373,29.21859033336786,2.7514096666321377
01/06/2019,10:00,10,1.59,0.09,1.59,32.407,64.152,26.682430931234308,29.25633380812268,1.1700706356363006,33.79798161070657,28.03641658853751,29.6057262373692,2.801273762630796
01/06/2019,11:00,11,3.0,0.6,3.0,33.001,61.62,26.747757851768483,28.947640147397895,1.3009714332041977,40.318401974894876,28.391750450723457,30.131653319173346,2.8693466808266512
01/06/2019,12:00,12,3.0,0.6,3.0,33.365,59.118,26.59846605180894,29.172838273010353,1.3812253874587015,44.51383090515991,28.60579138338151,30.45378565643986,2.911214343560142
01/06/2019,13:00,13,-1.0,1.6,3,33.757,55.568999999999996,26.252515611946365,29.358325537532675,1.4676678433457389,49.1473164044064,28.833067140036455,30.80053020745367,2.956469792546329
01/06/2019,14:00,14,-1.0,1.6,3,33.652,62.195,27.427736348534495,29.642068524401825,1.4450625381805173,47.927038787076974,28.77499377948549,30.708028898556414,2.943971101443587
01/06/2019,15:00,15,-1.0,1.6,3,33.6,61.211000000000006,27.197884576571028,29.532534178637075,1.433448724276412,47.3021683874112,28.744257276496274,30.66193874674625,2.93806125325375
01/06/2019,16:00,16,-1.0,1.04,3,33.183,67.29,27.936961339130335,29.44950482150534,1.3417430960126113,42.434310081395736,28.501984460777567,30.293129375389054,2.889870624610947
01/06/2019,17:00,17,-1.0,1.04,3,32.846,69.322,27.989567243102613,29.2146424399288,1.2674417938228728,38.60584527929699,28.30252991574185,29.994822829968356,2.8511771700316397
01/06/2019,18:00,18,-1.0,1.04,3,32.51,74.23899999999999,28.521475330093722,29.128150130722066,1.193700212129872,34.94015423391845,28.102607222615735,29.697466581389108,2.8125334186108892
01/06/2019,19:00,19,-1.0,1.04,3,32.51,73.577,28.41018047962791,29.093871316778593,1.1936405647864683,34.937250231086765,28.10235006489626,29.697433670874414,2.812566329125585
01/06/2019,20:00,20,-1.0,1.04,3,32.51,74.059,28.491304602189757,29.118857546527646,1.193683993634485,34.93936460662472,28.10253729773101,29.697457632248113,2.8125423677518855
01/06/2019,21:00,21,-1.0,1.04,3,32.639,73.933,28.589457635848703,29.245193680894605,1.2221485568086548,36.33681989743571,28.180258522036812,29.811725609516856,2.8272743904831454
01/06/2019,22:00,22,2.26,0.29,2.26,32.433,70.104,27.749258241044913,29.21645659693232,1.1763382504133815,34.09930472499212,28.054443675397085,29.629048358094707,2.8039516419052934
01/06/2019,23:00,23,2.26,0.29,2.26,32.278,70.625,27.69680200837132,29.08482507726885,1.1421978847522978,32.47268148848909,27.960578166817832,29.49174741509567,2.7862525849043274
02/06/2019,00:00,0,2.26,0.29,2.26,32.124,71.872,27.767799153384544,28.991962197932924,1.108347799068022,30.89670459180803,27.867127791004833,29.355305146068186,2.7686948539318146
02/06/2019,01:00,1,2.26,0.29,2.26,31.97,72.6,27.748690101865407,28.871346610065036,1.074478122979177,29.358397164505433,27.77304876731872,29.218860458451122,2.7511395415488766
02/06/2019,02:00,2,2.26,0.29,2.26,31.791,72.385,27.548053416687253,28.676195511030162,1.0350459260237967,27.618338533333173,27.66275744166902,29.060221701533646,2.7307782984663542
02/06/2019,03:00,3,2.26,0.29,2.26,31.791,71.84100000000001,27.456974498095974,28.64814320410405,1.0349995321098455,27.61632442327962,27.662564297164405,29.060198988875342,2.7308010111246572
02/06/2019,04:00,4,2.26,0.29,2.26,31.689,71.70100000000001,27.34016357968386,28.536175441233116,1.0125388956314827,26.650582031055023,27.599440212871976,28.969789142203105,2.7192108577968948
02/06/2019,05:00,5,2.26,0.29,2.26,31.561,71.738,27.22903758774885,28.40658863571713,0.9843809726758195,25.466643722537526,27.520018544944474,28.85632799599408,2.7046720040059204
02/06/2019,06:00,6,2.26,0.29,2.26,31.51,72.061,27.235913902751577,28.37071154073797,0.9731871863158149,25.00440859922584,27.48839179639392,28.811114600148006,2.6988853998519944
02/06/2019,07:00,7,1.04,0.0,1.04,31.408,72.85600000000001,27.274054424114183,29.053302995024364,0.9508168143590708,24.09524089600852,27.425034398762136,28.72068575406942,2.68731424593058
02/06/2019,08:00,8,2.26,0.29,2.26,31.612,72.714,27.438449294299062,28.509082441334595,0.995682344521397,25.938205315052386,27.55204455933819,28.901577279024234,2.710422720975765
02/06/2019,09:00,9,2.26,0.29,2.26,31.996,70.513,27.420359050116303,28.789590646126303,1.0800241483907986,29.607572687333445,27.78824619692476,29.241807752066254,2.754192247933743
02/06/2019,10:00,10,2.26,0.29,2.26,32.407,67.649,27.30032960628853,29.058816577427354,1.1703831258999633,33.8129766475183,28.03775637641449,29.60589550237345,2.8011044976265462
02/06/2019,11:00,11,3.0,0.6,3.0,32.924,63.52,27.027204861436473,28.976344826375634,1.2841355677466253,39.45519818906626,28.346713806853906,30.063580119720886,2.860419880279113
02/06/2019,12:00,12,-1.0,1.6,3,33.548,60.223,26.966662498775293,29.422577778675997,1.4218373985317425,46.67901411005957,28.713473534269614,30.61584817628958,2.932151823710421
02/06/2019,13:00,13,-1.0,1.6,3,34.202,55.92100000000001,26.702286679138524,29.828380026227865,1.566365571324044,54.513319605207315,29.08948880883696,31.194315510248487,3.0076844897515107
02/06/2019,14:00,14,-1.0,0.94,3,34.387,54.724,26.62202283093302,29.94148376098057,1.607293755484705,56.742139824790186,29.194373783253713,31.357853738553505,3.0291462614464963
02/06/2019,15:00,15,-1.0,3.05,3,34.836,57.168,27.494196259750083,30.544618177056226,1.7073384381016101,62.14418655800678,29.4489880210025,31.7552436467676,3.0807563532324
02/06/2019,16:00,16,-1.0,2.1,3,35.022,52.283,26.66215297528595,30.426918845441268,1.7481919290865544,64.31397143516334,29.550412908043093,31.919357109865594,3.1026428901344034
02/06/2019,17:00,17,-1.0,1.6,3,34.281,61.507,27.85261415320622,30.241535888240715,1.58447038926661,55.499764020515244,29.137241729347384,31.264600066119932,3.016399933880065
02/06/2019,18:00,18,-1.0,1.6,3,33.652,57.953,26.624947605433135,29.394809591526606,1.444645137988541,47.90455508821253,28.77311814519428,30.70775687096247,2.94424312903753
02/06/2019,19:00,19,3.0,0.6,3.0,33.260999999999996,58.88,26.462862837187686,29.053592482907003,1.3581952697083504,43.2974697916317,28.544488724536073,30.36170047363924,2.8992995263607564
02/06/2019,20:00,20,3.0,0.6,3.0,33.105,56.372,25.850130768899362,28.748651005874198,1.3234616471613938,41.48130385055748,28.451265436646374,30.223431858151375,2.8815681418486228
02/06/2019,21:00,21,3.0,0.6,3.0,32.846,58.913000000000004,26.108852615798128,28.635382334719022,1.26647979257783,38.55710613499252,28.298328617427288,29.994265075447416,2.85173492455258
02/06/2019,22:00,22,3.0,0.6,3.0,32.82,59.827,26.256908593412447,28.661613575824237,1.2608225647900182,38.27095043584657,28.283167314864887,29.971291341438842,2.848708658561157
02/06/2019,23:00,23,3.0,0.6,3.0,32.613,58.497,25.828980611303848,28.375596757334787,1.2150068937265999,35.9840526339803,28.158546406745067,29.78791035255287,2.8250896474471303
03/06/2019,00:00,0,3.0,0.6,3.0,32.639,58.723,25.893725588818143,28.41490821040919,1.2207649537142493,36.268365549839714,28.174265688707706,29.81094813645598,2.8280518635440224
03/06/2019,01:00,1,3.0,0.6,3.0,32.586999999999996,58.873999999999995,25.876862735947043,28.370974451724887,1.2093040193302569,35.703378313231184,28.143050642642738,29.764902566890726,2.8220974331092723
03/06/2019,02:00,2,3.0,0.6,3.0,32.536,59.43600000000001,25.936905450972233,28.351472607952648,1.1981026236768495,35.15477711566815,28.112546157572204,29.719760888003183,2.8162391119968175
03/06/2019,03:00,3,3.0,0.6,3.0,32.51,59.748000000000005,25.97225136112172,28.342989148278686,1.192394973811985,34.876630906199864,28.09698467780909,29.696747708880235,2.8132522911197624
03/06/2019,04:00,4,1.59,0.09,1.59,32.407,59.858000000000004,25.90279970897774,29.01620739166766,1.1696869952665288,33.77957647120695,28.03477252894164,29.605518645026084,2.8014813549739115
03/06/2019,05:00,5,1.59,0.09,1.59,32.304,59.558,25.75783975787124,28.89482472672686,1.1469501256363064,32.696914476762316,27.972202377909152,29.514261510938702,2.789738489061299
03/06/2019,06:00,6,1.59,0.09,1.59,32.33,59.088,25.693407431333867,28.89434957015334,1.1526403100069131,32.966347364097885,27.98780868502271,29.53727215141965,2.7927278485803497
03/06/2019,07:00,7,1.59,0.09,1.59,32.253,60.78,25.937161596051965,28.912060852886523,1.1358142179771071,32.1726089454251,27.941662050542995,29.46912957833138,2.783870421668621
03/06/2019,08:00,8,1.59,0.09,1.59,32.458,61.063,26.168643337393405,29.136082229219685,1.1810427748934835,34.32626056637794,28.066087045367492,29.650752995742874,2.807247004257124
03/06/2019,09:00,9,3.0,0.6,3.0,32.613,59.542,26.023718182734342,28.435575929335382,1.2151017308242802,35.98872788210174,28.158956359289917,29.787963327253454,2.8250366727465464
03/06/2019,10:00,10,3.0,0.6,3.0,32.924,59.21,26.23228602355448,28.73150982430798,1.283734883145278,39.43473410740678,28.34495907808934,30.063345213093775,2.8606547869062244
03/06/2019,11:00,11,3.0,0.6,3.0,33.339,57.428000000000004,26.253852071995368,29.047327167227774,1.3753105133237127,44.20057443005454,28.589788559666495,30.43066739542944,2.9083326045705578
03/06/2019,12:00,12,-1.0,0.94,3,33.678000000000004,54.625,25.999532710466724,29.221551803876952,1.4500756939636914,48.197221764065795,28.78677096978847,30.73055422161914,2.947445778380865
03/06/2019,13:00,13,-1.0,1.6,3,33.887,58.625,26.957826341881628,29.67241124235274,1.4967806182220056,50.72528335581579,28.909694854019037,30.915778694973127,2.9712213050268717
03/06/2019,14:00,14,-1.0,1.6,3,33.6,60.073,26.983745672049054,29.466579396044306,1.4333372005471974,47.29617541203442,28.74375693365059,30.661866579738135,2.9381334202618667
03/06/2019,15:00,15,3.0,0.6,3.0,33.391,63.095,27.36355864460228,29.427856791590703,1.3873619562338846,44.8394247346244,28.622768539987238,30.477043288135448,2.9139567118645484
03/06/2019,16:00,16,3.0,0.6,3.0,33.417,61.623000000000005,27.11411523738923,29.370398222169083,1.3929741650013852,45.137712827708654,28.63739529030077,30.499971241705982,2.917028758294021
03/06/2019,17:00,17,-1.0,1.04,3,33.183,65.214,27.564852653419962,29.33489534630655,1.3415461071476114,42.424005986804694,28.501112674521348,30.293009120269215,2.889990879730785
03/06/2019,18:00,18,3.04,0.6,3.04,32.407,76.168,28.74643358914267,29.10104709022288,1.1711445923774313,33.84952856193041,28.041023522413276,29.606308611748783,2.8006913882512117
03/06/2019,19:00,19,3.04,0.6,3.04,31.97,78.57600000000001,28.730207797377375,28.770484546359175,1.0749948029155987,29.381565346917697,27.775220619761097,29.219121446196063,2.7508785538039375
03/06/2019,20:00,20,3.04,0.6,3.04,31.74,77.968,28.41641268247372,28.502485650968847,1.0242948161838015,27.153717774692126,27.63321386826497,29.015250895457857,2.7247491045421426
03/06/2019,21:00,21,2.26,0.29,2.26,31.97,74.49600000000001,28.06429081743454,28.96855163046033,1.0746420349471344,29.36574604181405,27.77373759459483,29.21894320902872,2.7510567909712806
03/06/2019,22:00,22,2.26,0.29,2.26,32.407,74.31,28.43798103131917,29.409213216336784,1.1709784902648401,33.84155381999891,28.04031055570431,29.606218419770858,2.8007815802291374
03/06/2019,23:00,23,2.26,0.29,2.26,32.278,74.915,28.4192142836456,29.307328058053333,1.1425775944487342,32.490571469473196,27.9621979368134,29.4919492295104,2.786050770489598
04/06/2019,00:00,0,2.26,0.29,2.26,32.407,73.135,28.240880523721103,29.348506259996586,1.1708734546285229,33.836511379798566,28.039859790425915,29.606161408976266,2.8008385910237314
04/06/2019,01:00,1,2.26,0.29,2.26,32.407,71.743,28.005336811484995,29.275958796627865,1.1707490283503708,33.83053848949895,28.039325892879617,29.606093896095743,2.8009061039042518
04/06/2019,02:00,2,2.26,0.29,2.26,32.33,71.212,27.844708530733556,29.169120286156417,1.1537173059385997,33.0174586081357,27.99240970889745,29.53784824365225,2.79215175634775
04/06/2019,03:00,3,2.26,0.29,2.26,32.098,71.473,27.676393798540175,28.94443934864086,1.1025810576665547,30.63201282912196,27.851079064220144,29.332239662225817,2.7657603377741813
04/06/2019,04:00,4,2.26,0.29,2.26,32.201,71.432,27.76384015993301,29.048107827949853,1.1252871897002092,31.68065626446618,27.91398030743178,29.423537700313002,2.777462299686998
04/06/2019,05:00,5,2.26,0.29,2.26,32.098,72.079,27.7786615921749,28.975937829080355,1.1026339783388854,30.634436757859064,27.85130279181341,29.33226702432929,2.7657329756707103
04/06/2019,06:00,6,2.26,0.29,2.26,32.021,71.277,27.572883769908117,28.855193259822183,1.0855970809314266,29.859038828054693,27.80385496136811,29.263993175075353,2.7570068249246473
04/06/2019,07:00,7,2.26,0.29,2.26,31.893,70.586,27.339004180372342,28.687798346245163,1.0573477184694353,28.595608866399445,27.724988656250357,29.1505402595655,2.742459740434501
04/06/2019,08:00,8,2.26,0.29,2.26,31.944000000000003,70.138,27.30928414802395,28.716639576281867,1.0685394047980021,29.092777318164025,27.75618675152625,29.195714277990024,2.7482857220099772
04/06/2019,09:00,9,1.59,0.09,1.59,32.253,64.655,26.635049231944322,29.127010244741367,1.136156484285018,32.18866430585872,27.94311817997718,29.46931062036346,2.7836893796365403
04/06/2019,10:00,10,3.0,0.6,3.0,32.846,62.098,26.699065597807987,28.81716793317805,1.266774098221182,38.572014510456135,28.29961336193229,29.994435552150197,2.8515644478497992
04/06/2019,11:00,11,-1.0,1.6,3,33.652,58.335,26.6982369545957,29.41738271106868,1.4446827216778424,47.906579496351085,28.77328699293797,30.70778135345817,2.9442186465418296
04/06/2019,12:00,12,-1.0,1.6,3,33.809,62.597,27.641330959550544,29.824820664594764,1.4798889509798014,49.80895379674517,28.86636262813922,30.847014486986048,2.9619855130139507
