Date and Time,TA in(max),TA in(maxtime),TA in(min),TA in(mintime),TA in(mean),TA out(max),TA out(maxtime),TA out(min),TA out(mintime),TA out(mean),RH in(max),RH in(maxtime),RH in(min),RH in(mintime),RH in(mean),RH out(max),RH out(maxtime),RH out(min),RH out(mintime),RH out(mean),TWl-1 in(max),TWl-1 in(maxtime),TWl-1 in(min),TWl-1 in(mintime),TWl-1 in(mean),TWl-1 out(max),TWl-1 out(maxtime),TWl-1 out(min),TWl-1 out(mintime),TWl-1 out(mean),TWl-2 in(max),TWl-2 in(maxtime),TWl-2 in(min),TWl-2 in(mintime),TWl-2 in(mean),TWl-2 out(max),TWl-2 out(maxtime),TWl-2 out(min),TWl-2 out(mintime),TWl-2 out(mean),TRf in(max),TRf in(maxtime),TRf in(min),TRf in(mintime),TRf in(mean),TRf out(max),TRf out(maxtime),TRf out(min),TRf out(mintime),TRf out(mean),TG in(max),TG in(maxtime),TG in(min),TG in(mintime),TG in(mean),TG out(max),TG out(maxtime),TG out(min),TG out(mintime),TG out(mean),TW in(max),TW in(maxtime),TW in(min),TW in(mintime),TW in(mean),TW out(max),TW out(maxtime),TW out(min),TW out(mintime),TW out(mean),V in(max),V in(maxtime),V in(min),V in(mintime),V in(mean),iDampA(max),iDampA(maxtime),iDampA(min),iDampA(mintime),iDampA(mean),iDampW(max),iDampW(maxtime),iDampW(min),iDampW(mintime),iDampW(mean),Clo (max),Clo (maxtime),Clo (min),Clo (mintime),Clo (mean),Wl-1Facing(max),Wl-1Facing(maxtime),Wl-1Facing(min),Wl-1Facing(mintime),Wl-1Facing(mean),Wl-2Facing(max),Wl-2Facing(maxtime),Wl-2Facing(min),Wl-2Facing(mintime),Wl-2Facing(mean)
01/06/2019,33.757,13,31.204,04,32.32145833333333,37.728,15,30.444000000000003,06,33.52879166666667,74.23899999999999,18,55.568999999999996,13,68.24966666666667,73.875,06,44.453,13,64.20045833333334,33.235,15,31.561,07,32.36025,nan,00,nan,00,nan,32.898,15,31.484,07,32.21508333333333,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,4.128,15,-0.9640000000000001,06,1.2073333333333334,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan
02/06/2019,35.022,16,31.408,07,32.8065,40.4,16,30.090999999999998,06,33.743,72.85600000000001,07,52.283,16,64.32158333333334,77.37100000000001,07,39.619,16,61.689249999999994,34.281,16,31.74,07,32.79329166666667,nan,00,nan,00,nan,33.73,16,31.74,07,32.631791666666665,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,5.377999999999999,16,-1.419,06,0.9365,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan
03/06/2019,33.887,13,31.74,20,32.701166666666666,37.7,16,29.84,06,33.25125,78.57600000000001,19,54.625,12,63.874833333333335,73.536,23,47.99,12,61.87745833333333,33.469,13,32.33,20,32.85941666666667,nan,00,nan,00,nan,33.183,16,32.433,21,32.77829166666667,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,4.283,16,-2.49,06,0.5500833333333334,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan
04/06/2019,33.966,15,31.893,07,32.72441666666666,38.476,15,30.469,06,33.868249999999996,74.029,19,58.335,11,68.40770833333333,77.014,05,49.545,15,64.57804166666666,33.521,15,32.15,08,32.720708333333334,nan,00,nan,00,nan,33.287,15,32.073,08,32.618249999999996,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,4.558,16,-1.5519999999999998,06,1.1438333333333333,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan
05/06/2019,33.027,13,31.714000000000002,07,32.26091666666667,36.933,15,28.616999999999997,06,32.48354166666667,76.514,20,61.281000000000006,11,68.52120833333333,80.21600000000001,05,54.691,15,67.63820833333334,32.846,14,32.124,07,32.40725,nan,00,nan,00,nan,32.639,15,32.047,08,32.32983333333333,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,4.288,16,-3.2319999999999998,02,0.222625,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan
06/06/2019,33.001,13,31.484,07,32.03220833333333,36.688,14,29.89,05,33.02791666666667,76.811,23,64.001,10,69.54854166666667,74.38,23,56.86,13,66.02658333333333,32.717,14,31.791,08,32.135083333333334,nan,00,nan,00,nan,32.458,14,31.689,08,32.032333333333334,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,4.075,15,-1.85,05,0.9957083333333334,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan
07/06/2019,33.157,12,31.204,07,31.973958333333332,36.851,15,30.166999999999998,06,32.892041666666664,79.907,17,67.157,11,74.44375000000001,81.56,07,59.001000000000005,14,70.98979166666668,32.742,13,31.51,07,32.01345833333333,nan,00,nan,00,nan,32.536,13,31.51,07,31.953625,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,4.206,16,-1.215,06,0.9180833333333335,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan
08/06/2019,34.308,14,31.052,07,32.28025,38.812,14,29.815,07,33.28308333333333,77.19,06,51.54600000000001,13,68.68191666666668,79.684,06,41.848,13,65.214375,33.339,14,31.433000000000003,08,32.24033333333333,nan,00,nan,00,nan,32.975,15,31.357,08,32.11033333333334,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,4.504,14,-1.495,05,1.0028333333333332,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan
09/06/2019,35.181999999999995,16,31.153000000000002,06,32.87104166666666,40.114000000000004,15,29.74,06,34.20195833333333,72.415,01,48.8,16,63.134166666666665,74.294,01,37.851,16,59.408416666666675,34.466,17,31.357,07,32.76233333333334,nan,00,nan,00,nan,33.94,17,31.433000000000003,07,32.58625,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,5.092,15,-1.413,06,1.3309166666666665,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan
10/06/2019,35.635999999999996,17,31.765,07,33.4985,39.065,16,30.293000000000003,06,34.126375,62.394,01,43.443999999999996,17,54.38591666666667,65.008,07,37.489000000000004,17,52.59845833333333,34.677,18,32.253,07,33.41579166666667,nan,00,nan,00,nan,34.44,18,32.304,08,33.314,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,3.483,16,-1.4980000000000002,06,0.6278750000000001,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan
