Date and Time,TA in(max),TA in(maxtime),TA in(min),TA in(mintime),TA in(mean),TA out(max),TA out(maxtime),TA out(min),TA out(mintime),TA out(mean),RH in(max),RH in(maxtime),RH in(min),RH in(mintime),RH in(mean),RH out(max),RH out(maxtime),RH out(min),RH out(mintime),RH out(mean),TWl-1 in(max),TWl-1 in(maxtime),TWl-1 in(min),TWl-1 in(mintime),TWl-1 in(mean),TWl-1 out(max),TWl-1 out(maxtime),TWl-1 out(min),TWl-1 out(mintime),TWl-1 out(mean),TWl-2 in(max),TWl-2 in(maxtime),TWl-2 in(min),TWl-2 in(mintime),TWl-2 in(mean),TWl-2 out(max),TWl-2 out(maxtime),TWl-2 out(min),TWl-2 out(mintime),TWl-2 out(mean),TRf in(max),TRf in(maxtime),TRf in(min),TRf in(mintime),TRf in(mean),TRf out(max),TRf out(maxtime),TRf out(min),TRf out(mintime),TRf out(mean),TG in(max),TG in(maxtime),TG in(min),TG in(mintime),TG in(mean),TG out(max),TG out(maxtime),TG out(min),TG out(mintime),TG out(mean),TW in(max),TW in(maxtime),TW in(min),TW in(mintime),TW in(mean),TW out(max),TW out(maxtime),TW out(min),TW out(mintime),TW out(mean),V in(max),V in(maxtime),V in(min),V in(mintime),V in(mean),iDampA(max),iDampA(maxtime),iDampA(min),iDampA(mintime),iDampA(mean),iDampW(max),iDampW(maxtime),iDampW(min),iDampW(mintime),iDampW(mean),iDampW2(max),iDampW2(maxtime),iDampW2(min),iDampW2(mintime),iDampW2(mean),Clo (max),Clo (maxtime),Clo (min),Clo (mintime),Clo (mean),Wl-1Facing(max),Wl-1Facing(maxtime),Wl-1Facing(min),Wl-1Facing(mintime),Wl-1Facing(mean),Wl-2Facing(max),Wl-2Facing(maxtime),Wl-2Facing(min),Wl-2Facing(mintime),Wl-2Facing(mean)
08/06/2019,34.519,14,32.278,09,33.45995833333333,38.812,14,29.815,07,33.28308333333333,72.384,07,53.016999999999996,13,66.447,79.684,06,41.848,13,65.214375,35.635999999999996,19,32.098,09,33.698791666666665,43.647,16,30.976,06,35.447125,35.262,19,32.098,09,33.59070833333333,43.403999999999996,16,30.95,06,35.373124999999995,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,4.293,14,-2.81,04,-0.17687500000000003,9.339,16,-1.663,06,1.7483333333333333,9.385,16,-1.663,06,1.7824166666666665,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan
09/06/2019,36.173,20,32.562,07,34.09641666666666,40.114000000000004,15,29.74,06,34.20195833333333,68.155,01,51.06100000000001,16,61.27941666666667,74.294,01,37.851,16,59.408416666666675,37.288000000000004,20,32.381,09,34.30158333333333,47.287,16,31.23,06,36.55166666666667,37.150999999999996,21,32.433,09,34.22783333333333,46.898999999999994,16,31.23,06,36.441750000000006,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,5.437,15,-3.002,06,0.10554166666666666,12.398,16,-1.538,06,2.250083333333333,12.116,16,-1.516,05,2.2139166666666665,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan
10/06/2019,35.85,18,32.975,08,34.5105,39.065,16,30.293000000000003,06,34.126375,59.091,08,46.765,17,54.24704166666666,65.008,07,37.489000000000004,17,52.59845833333333,36.552,19,33.157,09,34.786750000000005,44.843,16,32.021,06,36.40679166666667,36.335,19,33.131,08,34.712375,44.688,16,32.021,06,36.35066666666667,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,3.937,16,-3.49,06,-0.38412500000000005,9.741,16,-1.9509999999999998,05,1.6200416666666666,9.719,16,-1.899,05,1.6382916666666667,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan
11/06/2019,37.233000000000004,21,33.157,08,34.80829166666666,39.234,16,30.090999999999998,06,34.51329166666667,58.736999999999995,09,45.553999999999995,16,51.075208333333336,63.924,07,35.376999999999995,16,48.87129166666667,38.254,21,33.027,08,34.97654166666666,48.073,17,31.714000000000002,06,37.13795833333333,38.17,21,33.105,08,34.94929166666666,47.744,17,31.689,06,37.024208333333334,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,4.071000000000001,15,-3.404,06,-0.295,12.196,17,-1.807,06,2.1614166666666668,12.082,17,-1.911,06,2.0749166666666667,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan
12/06/2019,37.453,20,33.835,08,35.454458333333335,39.431,16,30.976,07,34.85391666666667,57.668,15,47.821000000000005,00,51.68445833333333,62.82899999999999,07,37.97,17,50.46420833333334,38.282,20,33.73,09,35.663666666666664,49.006,17,32.586999999999996,06,37.49916666666667,38.254,21,33.835,09,35.65504166666667,48.57,17,32.639,06,37.457750000000004,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,3.554,16,-3.551,04,-0.6005416666666668,12.725,17,-1.936,05,1.8355000000000004,12.450999999999999,17,-1.9380000000000002,05,1.8027083333333334,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan
13/06/19,36.96,12,34.071,08,35.09995833333333,39.065,14,29.34,22,33.39362499999999,64.215,17,49.023,12,56.32220833333333,71.237,22,41.036,13,57.729499999999994,37.425,12,34.176,10,35.56908333333333,45.94,16,31.433000000000003,22,36.50925,37.59,12,34.229,10,35.555958333333336,45.562,16,31.23,22,36.404875,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,3.883,14,-5.1,22,-1.7063333333333333,10.437999999999999,16,-4.31,22,0.9401666666666665,10.327,16,-4.54,22,0.8489166666666667,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan
14/06/19,34.571999999999996,21,32.484,07,33.48083333333333,37.343,16,28.941,06,32.45295833333333,72.001,19,55.812,15,63.54429166666667,76.875,06,45.538000000000004,14,64.55320833333333,36.146,20,31.996,09,33.65995833333333,47.744,16,30.166999999999998,06,35.41166666666667,35.743,20,32.021,10,33.574041666666666,47.32,16,30.191999999999997,06,35.333125,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,3.219,16,-4.353,02,-1.027875,13.699000000000002,16,-2.991,01,1.7517083333333334,13.485,16,-3.0580000000000003,12,1.7590833333333336,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan
15/06/19,35.208,22,32.975,07,34.10154166666666,37.921,14,30.773000000000003,07,33.72570833333334,67.945,20,47.818999999999996,14,61.47204166666666,69.741,20,37.625,14,60.07004166666667,36.933,20,32.742,09,34.449625,48.838,17,31.459,06,36.84404166666666,36.471,21,32.82,09,34.380541666666666,48.504,17,31.433000000000003,06,36.782916666666665,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,3.217,14,-2.568,05,-0.3758333333333333,13.63,17,-1.756,05,2.394416666666667,13.615,17,-1.834,05,2.4023749999999997,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan
16/06/19,35.448,22,33.235,08,34.394083333333334,38.254,14,30.824,07,33.835625,65.566,21,50.068999999999996,14,60.585041666666676,69.895,21,40.622,13,60.52858333333333,37.205999999999996,20,33.131,09,34.85866666666667,49.208,17,31.893,06,37.42845833333333,36.933,20,33.260999999999996,08,34.819125,48.871,17,31.893,06,37.383374999999994,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,3.682,14,-2.697,07,-0.5584583333333334,13.465,17,-1.7590000000000001,06,2.5697916666666667,13.395999999999999,17,-1.837,06,2.56425,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan
17/06/19,35.475,20,33.365,08,34.413291666666666,38.616,15,31.128,07,34.252625,70.538,21,43.743,13,58.79575,70.812,01,30.493000000000002,15,55.84033333333334,36.606,20,33.235,09,34.79620833333333,45.342,16,32.201,06,36.49679166666667,36.471,20,33.339,09,34.73866666666667,45.342,16,32.201,06,36.481833333333334,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,3.965,15,-2.734,01,-0.16066666666666662,10.134,16,-1.6130000000000002,05,1.7005833333333331,10.347000000000001,16,-1.666,05,1.7431666666666665,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan
18/06/19,35.075,19,33.079,09,34.246583333333334,37.508,16,31.076999999999998,07,33.8235,64.998,04,48.102,15,59.83733333333333,69.75399999999999,04,38.986,14,59.062333333333335,35.797,19,33.001,09,34.46241666666666,42.356,16,31.996,06,35.43129166666667,35.689,20,33.001,09,34.386291666666665,42.356,16,31.944000000000003,06,35.411875,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,2.645,16,-2.2880000000000003,07,-0.4230833333333333,7.334,16,-1.661,05,0.968875,7.492999999999999,16,-1.6340000000000001,05,1.0255833333333333,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan
19/06/19,34.571999999999996,12,33.157,08,33.737791666666666,36.606,13,30.570999999999998,06,33.428333333333335,75.9,17,49.729,11,61.888749999999995,70.072,17,40.838,24,59.217958333333335,35.022,19,32.872,08,34.00608333333333,43.738,16,31.381999999999998,06,35.54079166666667,34.863,20,32.898,09,33.911875,43.647,16,31.281,06,35.49766666666667,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,2.6919999999999997,13,-2.846,06,-0.3094583333333333,9.43,16,-1.9569999999999999,06,1.5347083333333333,9.732999999999999,16,-2.032,06,1.5857916666666665,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan
20/06/19,35.662,21,32.898,07,34.092375,38.84,16,31.128,06,34.326375,65.316,19,46.316,16,58.26120833333332,67.73100000000001,02,35.650999999999996,16,55.23075,36.851,20,32.586999999999996,09,34.240166666666674,47.81,16,31.689,06,36.68875,36.796,21,32.691,09,34.251875000000005,47.81,16,31.689,06,36.668,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,3.7119999999999997,16,-1.824,05,0.23399999999999999,12.868,16,-1.185,05,2.448583333333333,12.974,16,-1.344,04,2.416125,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan
