Date and Time,TA in(max),TA in(maxtime),TA in(min),TA in(mintime),TA in(mean),TA out(max),TA out(maxtime),TA out(min),TA out(mintime),TA out(mean),RH in(max),RH in(maxtime),RH in(min),RH in(mintime),RH in(mean),RH out(max),RH out(maxtime),RH out(min),RH out(mintime),RH out(mean),TWl-1 in(max),TWl-1 in(maxtime),TWl-1 in(min),TWl-1 in(mintime),TWl-1 in(mean),TWl-1 out(max),TWl-1 out(maxtime),TWl-1 out(min),TWl-1 out(mintime),TWl-1 out(mean),TWl-2 in(max),TWl-2 in(maxtime),TWl-2 in(min),TWl-2 in(mintime),TWl-2 in(mean),TWl-2 out(max),TWl-2 out(maxtime),TWl-2 out(min),TWl-2 out(mintime),TWl-2 out(mean),TRf in(max),TRf in(maxtime),TRf in(min),TRf in(mintime),TRf in(mean),TRf out(max),TRf out(maxtime),TRf out(min),TRf out(mintime),TRf out(mean),TG in(max),TG in(maxtime),TG in(min),TG in(mintime),TG in(mean),TG out(max),TG out(maxtime),TG out(min),TG out(mintime),TG out(mean),TW in(max),TW in(maxtime),TW in(min),TW in(mintime),TW in(mean),TW out(max),TW out(maxtime),TW out(min),TW out(mintime),TW out(mean),V in(max),V in(maxtime),V in(min),V in(mintime),V in(mean),iDampA(max),iDampA(maxtime),iDampA(min),iDampA(mintime),iDampA(mean),iDampW(max),iDampW(maxtime),iDampW(min),iDampW(mintime),iDampW(mean),iDampW2(max),iDampW2(maxtime),iDampW2(min),iDampW2(mintime),iDampW2(mean),Clo (max),Clo (maxtime),Clo (min),Clo (mintime),Clo (mean),Wl-1Facing(max),Wl-1Facing(maxtime),Wl-1Facing(min),Wl-1Facing(mintime),Wl-1Facing(mean),Wl-2Facing(max),Wl-2Facing(maxtime),Wl-2Facing(min),Wl-2Facing(mintime),Wl-2Facing(mean)
01/06/2019,34.162,21,31.735,09,32.986291666666666,37.728,15,30.444000000000003,06,33.52879166666667,65.204,18,52.123999999999995,13,61.293416666666666,73.875,06,44.453,13,64.20045833333334,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,35.342,21,33.548,10,34.45158333333333,48.403999999999996,13,29.665,06,36.883583333333334,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,4.524,15,-1.875,04,0.5425,14.359000000000002,13,-4.38,06,2.432,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan
02/06/2019,35.133,16,31.683000000000003,09,33.119499999999995,40.4,16,30.090999999999998,06,33.743,66.26,08,48.354,16,59.06725,77.37100000000001,07,39.619,16,61.689249999999994,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,35.85,22,33.574,10,34.670833333333334,50.37,14,29.815,06,37.555,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,5.281000000000001,17,-2.121,05,0.6235,15.982999999999999,14,-4.256,06,2.8841666666666668,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan
03/06/2019,33.655,12,32.152,08,32.810833333333335,37.7,16,29.84,06,33.25125,71.439,19,51.126000000000005,12,59.26079166666667,73.536,23,47.99,12,61.87745833333333,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,35.689,00,34.019,10,34.86691666666667,48.838,13,30.243000000000002,06,37.19629166666667,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,4.708,16,-2.678,02,0.4404166666666667,14.53,13,-4.485,03,2.329375,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan
04/06/2019,33.735,11,31.268,08,32.79195833333333,38.476,15,30.469,06,33.868249999999996,66.434,19,54.293,11,63.075375,77.014,05,49.545,15,64.57804166666666,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,35.743,22,33.861,09,34.77804166666667,49.683,14,29.79,06,37.629125,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,5.377999999999999,16,-1.735,06,1.0762916666666666,15.375,14,-4.623,06,2.8510833333333334,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan
05/06/2019,32.86,00,31.787,08,32.333375,36.933,15,28.616999999999997,06,32.48354166666667,70.352,18,56.607,11,63.47508333333334,80.21600000000001,05,54.691,15,67.63820833333334,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,35.582,00,33.887,10,34.62083333333333,47.941,14,29.59,06,36.954208333333334,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,4.672,16,-3.7030000000000003,03,0.15016666666666667,13.87,14,-4.85,06,2.333375,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan
06/06/2019,32.519,00,31.346,08,32.09270833333333,36.688,14,29.89,05,33.02791666666667,69.75399999999999,17,58.593,01,64.39654166666666,74.38,23,56.86,13,66.02658333333333,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,35.075,00,33.417,10,34.27708333333334,48.938,14,28.891,06,36.729708333333335,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,4.484,15,-2.0269999999999997,05,0.9352083333333333,15.181,14,-5.101,06,2.452625,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan
07/06/2019,32.887,12,31.294,07,32.01354166666667,36.851,15,30.166999999999998,06,32.892041666666664,73.581,17,62.597,11,68.66833333333334,81.56,07,59.001000000000005,14,70.98979166666668,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,34.916,00,33.365,10,34.13629166666667,47.417,14,29.365,06,36.301458333333336,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,4.721,16,-1.334,06,0.8785000000000002,13.790999999999999,14,-4.496,06,2.1651666666666665,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan
08/06/2019,34.485,13,31.268,08,32.35854166666667,38.812,14,29.815,07,33.28308333333333,71.387,20,47.31399999999999,13,63.22116666666667,79.684,06,41.848,13,65.214375,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,35.235,21,33.260999999999996,09,34.243208333333335,50.37,14,28.891,06,36.869,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,4.883,15,-1.663,06,0.9245416666666667,16.273,14,-4.813,06,2.6257916666666667,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan
09/06/2019,35.296,16,30.701,07,32.778166666666664,40.114000000000004,15,29.74,06,34.20195833333333,67.528,01,44.913999999999994,16,58.728874999999995,74.294,01,37.851,16,59.408416666666675,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,36.012,21,33.495,09,34.681999999999995,50.266000000000005,15,29.54,06,37.829375,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,4.845,15,-1.09,06,1.4237916666666666,15.734000000000002,14,-4.374,06,3.1473750000000003,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan
10/06/2019,35.215,17,31.398000000000003,07,33.11470833333333,39.065,16,30.293000000000003,06,34.126375,58.013999999999996,00,41.545,17,51.695,65.008,07,37.489000000000004,17,52.59845833333333,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,36.092,22,34.019,10,35.12054166666667,47.613,14,29.665,06,37.41375,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,4.203,16,-1.297,05,1.0116666666666667,13.015,14,-5.077,05,2.293208333333333,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan
